id|http://www.okkam.org/ontology_restaurant2.owl#name|http://www.okkam.org/ontology_restaurant2.owl#phone_number|http://www.okkam.org/ontology_restaurant2.owl#street|aggregate value
1232|tribeca grill|212/941-3900||tribeca grill 212/941-3900
1233|fringale|415-543-0573||fringale 415-543-0573
1234|||144 second ave.|144 second ave.
1235|cafe lalo|212-496-6031||cafe lalo 212-496-6031
1236|continental|||continental
1237|||23 e. 22nd st.|23 e. 22nd st.
1238|health food|||health food
1239|||34 e. 61st st.|34 e. 61st st.
1240|zen palate|212/614-9291||zen palate 212/614-9291
1241|||342 e. 11th st.  near 1st ave.|342 e. 11th st.  near 1st ave.
1242|asian|||asian
1243|beaurivage|310/456-5733||beaurivage 310/456-5733
1244|||4th st.|4th st.
1245|||4750 w. sahara ave.|4750 w. sahara ave.
1246|greek|||greek
1247|steakhouse  the|702-382-1600||steakhouse  the 702-382-1600
1248|||1829 peachtree rd.|1829 peachtree rd.
1249|la caravelle|212-586-4252||la caravelle 212-586-4252
1250|american|||american
1251|||160 e. 64th st.|160 e. 64th st.
1252|||659 peachtree st.|659 peachtree st.
1253|||2628 wilshire blvd.|2628 wilshire blvd.
1254|dining room|310/275-5200||dining room 310/275-5200
1255|pizza|||pizza
1256|canoe|770-432-2663||canoe 770-432-2663
1257|||3700 w. flamingo|3700 w. flamingo
1258|bugsy's diner|702/733-3111||bugsy's diner 702/733-3111
1259|asian|||asian
1260|darbar|212-432-7227||darbar 212-432-7227
1261|italian|||italian
1262|||1029 edgewood ave. se|1029 edgewood ave. se
1263|indian|||indian
1264|indian delights|100-813-8212||indian delights 100-813-8212
1265|||1 main st.|1 main st.
1266|margarita's mexican cantina|702/794-8200||margarita's mexican cantina 702/794-8200
1267|||1550 california st.|1550 california st.
1268|american|||american
1269|american|||american
1270|||13 w. 46th st.|13 w. 46th st.
1271|french|||french
1272|||3570 las vegas blvd. s|3570 las vegas blvd. s
1273|bistro roti|415/495-6500||bistro roti 415/495-6500
1274|||300 de haro st.|300 de haro st.
1275|cafe centro|212/818-1222||cafe centro 212/818-1222
1276|vicolo pizzeria|415-863-2382||vicolo pizzeria 415-863-2382
1277|asian|||asian
1278|||211 w. broadway at franklin st.|211 w. broadway at franklin st.
1279|asian|||asian
1280|le select|212/875-1993||le select 212/875-1993
1281|||119 macdougal st.  between 3rd and bleecker sts.|119 macdougal st.  between 3rd and bleecker sts.
1282|thai|||thai
1283|chez jacqueline|212/505-0727||chez jacqueline 212/505-0727
1284|||640 sacramento st.|640 sacramento st.
1285|asian|||asian
1286|scala's bistro|415/395-8555||scala's bistro 415/395-8555
1287|||2182 broadway  between 77th and 78th sts.|2182 broadway  between 77th and 78th sts.
1288|american|||american
1289|||45 s. fair oaks ave.|45 s. fair oaks ave.
1290|californian|||californian
1291|||23725 w. malibu rd.|23725 w. malibu rd.
1292|vegetarian|||vegetarian
1293|||1240 9th ave.|1240 9th ave.
1294|vivande porta via|415/346-4430||vivande porta via 415/346-4430
1295|chinese|||chinese
1296|italian|||italian
1297|chinese|||chinese
1298|||62 spring st. at lafayette st.|62 spring st. at lafayette st.
1299|american|||american
1300|||1220 9th ave.|1220 9th ave.
1301|valentino|310-829-4313||valentino 310-829-4313
1302|american (new)|||american (new)
1303|belvedere  the|310-788-2306||belvedere  the 310-788-2306
1304|american|||american
1305|||8795 sunset blvd.|8795 sunset blvd.
1306|||375 greenwich st.  near franklin st.|375 greenwich st.  near franklin st.
1307|asian|||asian
1308|vince & eddie's|212/721-0068||vince & eddie's 212/721-0068
1309|||532 columbus ave.|532 columbus ave.
1310|four seasons|212-754-9494||four seasons 212-754-9494
1311|mexican|||mexican
1312|hamburgers|||hamburgers
1313|||243 e. 58th st.|243 e. 58th st.
1314|||128 e. fremont st.|128 e. fremont st.
1315|||34 union sq. e at 16th st.|34 union sq. e at 16th st.
1316|asian|||asian
1317|||656 n. virgil ave.|656 n. virgil ave.
1318|bertolini's|404/233-2333||bertolini's 404/233-2333
1319|canter's|213/651-2030.||canter's 213/651-2030.
1320|ukrainian|||ukrainian
1321|mesa grill|212-807-7400||mesa grill 212-807-7400
1322|american|||american
1323|||405 e. 58th st.|405 e. 58th st.
1324|benny's burritos|212-254-2054||benny's burritos 212-254-2054
1325|||4199 paces ferry rd.|4199 paces ferry rd.
1326|italian|||italian
1327|||8600 beverly blvd.|8600 beverly blvd.
1328|horseradish grill|404/255-7277||horseradish grill 404/255-7277
1329|gilliland's|310/392-3901||gilliland's 310/392-3901
1330|seafood|||seafood
1331|frijoleros|404-892-8226||frijoleros 404-892-8226
1332|||3555 las vegas blvd. s|3555 las vegas blvd. s
1333|french|||french
1334|||44 w. 56th st.|44 w. 56th st.
1335|joe's shanghai|718-539-3838||joe's shanghai 718-539-3838
1336|||11 e. 53rd st.|11 e. 53rd st.
1337|morton's|310/276-5205||morton's 310/276-5205
1338|||3675 satellite blvd.|3675 satellite blvd.
1339|chinese|||chinese
1340|||3120 las vegas blvd. s|3120 las vegas blvd. s
1341|yolie's|702/794-0700||yolie's 702/794-0700
1342|american|||american
1343|asian|||asian
1344|seafood|||seafood
1345|||155 steuart st.|155 steuart st.
1346|caribbean|||caribbean
1347|||201 ivy st.|201 ivy st.
1348|carta|415/863-3516||carta 415/863-3516
1349|||200 park ave.  between 45th st. and vanderbilt ave.|200 park ave.  between 45th st. and vanderbilt ave.
1350|coffeehouses|||coffeehouses
1351|caffe bondi ristorante|212/691-8136||caffe bondi ristorante 212/691-8136
1352|asian|||asian
1353|||507 columbus ave.  between 84th and 85th sts.|507 columbus ave.  between 84th and 85th sts.
1354|italian|||italian
1355|southern|||southern
1356|||72 macdougal st.  between w. houston and bleecker sts.|72 macdougal st.  between w. houston and bleecker sts.
1357|hayes street grill|415/863-5545||hayes street grill 415/863-5545
1358|||14016 ventura blvd.|14016 ventura blvd.
1359|coffee shops|||coffee shops
1360|da nico|212/343-1212||da nico 212/343-1212
1361|||432 powell st.|432 powell st.
1362|american|||american
1363|american|||american
1364|ferrier|212/772-9000||ferrier 212/772-9000
1365|||2125 fillmore st.|2125 fillmore st.
1366|french (new)|||french (new)
1367|zuni cafe & grill|415/552-2522||zuni cafe & grill 415/552-2522
1368|italian|||italian
1369|coffee shops|||coffee shops
1370|rex il ristorante|213-627-2300||rex il ristorante 213-627-2300
1371|hamburgers|||hamburgers
1372|||9882 little santa monica blvd.|9882 little santa monica blvd.
1373|asian|||asian
1374|cafe '50s|310-399-1955||cafe '50s 310-399-1955
1375|french (new)|||french (new)
1376|desserts|||desserts
1377|||70 w. 68th st.|70 w. 68th st.
1378|middle eastern|||middle eastern
1379|aleck's barbecue heaven|404/525-2062||aleck's barbecue heaven 404/525-2062
1380|american (new)|||american (new)
1381|les celebrites|212-484-5113||les celebrites 212-484-5113
1382|jiraffe|310-917-6671||jiraffe 310-917-6671
1383|matthew's|212/838-4343||matthew's 212/838-4343
1384|mexican|||mexican
1385|||155 w. 51st st.|155 w. 51st st.
1386|||3500 peachtree rd.  phipps plaza|3500 peachtree rd.  phipps plaza
1387|italian|||italian
1388|||8800 melrose ave.|8800 melrose ave.
1389|dante's down the hatch  buckhead|404/266-1600||dante's down the hatch  buckhead 404/266-1600
1390|drai's|310/358-8585||drai's 310/358-8585
1391|rainbow room|212-632-5000||rainbow room 212-632-5000
1392|french bistro|||french bistro
1393|otabe|212/223-7575||otabe 212/223-7575
1394|||93 ave. a|93 ave. a
1395|||95 ave. a|95 ave. a
1396|elias corner|718-932-1510||elias corner 718-932-1510
1397|||4320 powers ferry rd.|4320 powers ferry rd.
1398|american|||american
1399|||8720 sunset blvd.|8720 sunset blvd.
1400|joss|310/276-1886||joss 310/276-1886
1401|||1031 peachtree st. ne|1031 peachtree st. ne
1402|steakhouses|||steakhouses
1403|coyote cafe (las vegas)|702-891-7349||coyote cafe (las vegas) 702-891-7349
1404|american|||american
1405|||9 pell st.|9 pell st.
1406|||3200 las vegas blvd. s.|3200 las vegas blvd. s.
1407|lombardi's|212-941-7994||lombardi's 212-941-7994
1408|posto|818/784-4400||posto 818/784-4400
1409|japanese|||japanese
1410|||252 n. beverly dr.|252 n. beverly dr.
1411|japanese|||japanese
1412|||3900 paradise rd.|3900 paradise rd.
1413|asian|||asian
1414|buca giovanni|415/776-7766||buca giovanni 415/776-7766
1415|italian|||italian
1416|rose of india|212-533-5011||rose of india 212-533-5011
1417|trader vic's|310/276-6345||trader vic's 310/276-6345
1418|steakhouses|||steakhouses
1419|||1772 market st.|1772 market st.
1420|barbecue|||barbecue
1421|grand cafe hotel monaco|415/292-0101||grand cafe hotel monaco 415/292-0101
1422|||7 w. 20th st.|7 w. 20th st.
1423|cite|212/956-7100||cite 212/956-7100
1424|||320 hayes st.|320 hayes st.
1425|italian|||italian
1426|kabuto sushi|415/752-5652||kabuto sushi 415/752-5652
1427|||164 mulberry st.  between grand and broome sts.|164 mulberry st.  between grand and broome sts.
1428|hamburgers|||hamburgers
1429|empire korea|212/725-1333||empire korea 212/725-1333
1430|american|||american
1431|my thai|404-636-4280||my thai 404-636-4280
1432|matsuhisa|310-659-9639||matsuhisa 310-659-9639
1433|north india|415/931-1556||north india 415/931-1556
1434|||29 e. 65th st.|29 e. 65th st.
1435|mexican|||mexican
1436|flowers|212/691-8888||flowers 212/691-8888
1437|||1658 market st.|1658 market st.
1438|bistro 45|818-795-2478||bistro 45 818-795-2478
1439|american|||american
1440|californian|||californian
1441|veggieland|404-231-3111||veggieland 404-231-3111
1442|thai|||thai
1443|grand ticino|212/777-5922||grand ticino 212/777-5922
1444|||838 lincoln blvd.|838 lincoln blvd.
1445|american (new)|||american (new)
1446|feast from the east|310-475-0400||feast from the east 310-475-0400
1447|french|||french
1448|manhattan cafe|212/888-6556||manhattan cafe 212/888-6556
1449|seafood|||seafood
1450|||783 martin luther king jr. dr.|783 martin luther king jr. dr.
1451|or 415/982-3811 asian|||or 415/982-3811 asian
1452|||502 santa monica blvd|502 santa monica blvd
1453|oceana|212-759-5941||oceana 212-759-5941
1454|kokomo cafe|213-933-0773||kokomo cafe 213-933-0773
1455|greek|||greek
1456|||1030 3rd ave. at 61st st.|1030 3rd ave. at 61st st.
1457|new york noodletown|212/349-0923||new york noodletown 212/349-0923
1458|japanese|||japanese
1459|||3380 peachtree rd.|3380 peachtree rd.
1460|italian|||italian
1461|||10668 w. pico blvd.|10668 w. pico blvd.
1462|tavern on the green|212-873-3200||tavern on the green 212-873-3200
1463|french bistro|||french bistro
1464|mo better meatty meat|213-935-5280||mo better meatty meat 213-935-5280
1465|||68 e. 56th st.|68 e. 56th st.
1466|penang soho|212/274-8883||penang soho 212/274-8883
1467|||24-02 31st st.|24-02 31st st.
1468|kiev|212-674-4040||kiev 212-674-4040
1469|||797 third ave.|797 third ave.
1470|coffee bar|||coffee bar
1471|ocean avenue|310/394-5669||ocean avenue 310/394-5669
1472|||6th st.|6th st.
1473|californian|||californian
1474|bone's restaurant|404-237-2663||bone's restaurant 404-237-2663
1475|s.p.q.r|212/925-3120||s.p.q.r 212/925-3120
1476|latin american|||latin american
1477|||32 spring st.|32 spring st.
1478|||3125 piedmont rd.|3125 piedmont rd.
1479|oyster bar|212-490-6650||oyster bar 212-490-6650
1480|american|||american
1481|californian|||californian
1482|swingers|213/653-5858||swingers 213/653-5858
1483|||430 n. camden dr.|430 n. camden dr.
1484|asian|||asian
1485|||800 greenwich st.|800 greenwich st.
1486|ritz-carlton cafe (buckhead)|404-237-2700||ritz-carlton cafe (buckhead) 404-237-2700
1487|||308 e. sixth st.|308 e. sixth st.
1488|||1232 w. paces ferry rd.|1232 w. paces ferry rd.
1489|szechuan kitchen|212-249-4615||szechuan kitchen 212-249-4615
1490|dive american|||dive american
1491|alamo|212/ 759-0590||alamo 212/ 759-0590
1492|||1 united nations plaza at 44th st.|1 united nations plaza at 44th st.
1493|continental|||continental
1494|||501 geary st.|501 geary st.
1495|continental|||continental
1496|hong kong villa|415/752-8833||hong kong villa 415/752-8833
1497|||120 w. 51st st.|120 w. 51st st.
1498|emeril's new orleans fish house|702-891-7374||emeril's new orleans fish house 702-891-7374
1499|mambo restaurante cubano|404/874-2626||mambo restaurante cubano 404/874-2626
1500|chinese|||chinese
1501|kalo's coffee house|404-325-3733||kalo's coffee house 404-325-3733
1502|||5116 geary blvd.|5116 geary blvd.
1503|buffets|||buffets
1504|manora|415/861-6224||manora 415/861-6224
1505|||6 e. 32nd st.|6 e. 32nd st.
1506|fiorello's roman cafe|212/595-5330||fiorello's roman cafe 212/595-5330
1507|coffee bar|||coffee bar
1508|stringer's fish camp and oyster bar|770/458-7145||stringer's fish camp and oyster bar 770/458-7145
1509|||1248 clairmont rd.|1248 clairmont rd.
1510|silver skillet  the|404-874-1388||silver skillet  the 404-874-1388
1511|||3131 webster st.|3131 webster st.
1512|coffee shops/diners|||coffee shops/diners
1513|||21 west 17th st.  between 5th and 6th aves.|21 west 17th st.  between 5th and 6th aves.
1514|mexican|||mexican
1515|gallagher's|212/245-5336||gallagher's 212/245-5336
1516|||45 s. mentor ave.|45 s. mentor ave.
1517|italian|||italian
1518|||220 sandy springs circle|220 sandy springs circle
1519|doidge's|415-921-2149||doidge's 415-921-2149
1520|||228 thompson st.  between w. 3rd and bleecker sts.|228 thompson st.  between w. 3rd and bleecker sts.
1521|french|||french
1522|il nido|212/753-8450||il nido 212/753-8450
1523|||1949 westwood blvd.|1949 westwood blvd.
1524|french|||french
1525|john o'groats|310-204-0692||john o'groats 310-204-0692
1526|||1161 1st ave.  between 63rd and 64th sts.|1161 1st ave.  between 63rd and 64th sts.
1527|or 212/941-0772 american|||or 212/941-0772 american
1528|mel's drive-in|415-387-2244||mel's drive-in 415-387-2244
1529|hot dogs|||hot dogs
1530|||6333 w. third st.|6333 w. third st.
1531|american|||american
1532|steakhouses|||steakhouses
1533|mani's bakery & espresso bar|213-938-8800||mani's bakery & espresso bar 213-938-8800
1534|||28 1/2 bowery at bayard st.|28 1/2 bowery at bayard st.
1535|pamir|212/644-9258||pamir 212/644-9258
1536|italian|||italian
1537|italian|||italian
1538|||7261 melrose ave.|7261 melrose ave.
1539|asian|||asian
1540|poquito mas|818-563-2252||poquito mas 818-563-2252
1541|second street grill|702-385-6277||second street grill 702-385-6277
1542|||109 spring st.  between greene and mercer sts.|109 spring st.  between greene and mercer sts.
1543|remi|212/581-4242||remi 212/581-4242
1544|||117 second ave.|117 second ave.
1545|||3570 las vegas blvd. s.|3570 las vegas blvd. s.
1546|italian|||italian
1547|||1514 n. gower st.|1514 n. gower st.
1548|french (new)|||french (new)
1549|indigo coastal grill|404-876-0676||indigo coastal grill 404-876-0676
1550|american (new)|||american (new)
1551|||133 mulberry st.  between hester and grand sts.|133 mulberry st.  between hester and grand sts.
1552|seventh regiment mess and bar|212/744-4107||seventh regiment mess and bar 212/744-4107
1553|||lower level|lower level
1554|||595 piedmont ave.|595 piedmont ave.
1555|sparks steak house|212-687-4855||sparks steak house 212-687-4855
1556|mediterranean|||mediterranean
1557|mediterranean|||mediterranean
1558|20 mott|212/964-0380||20 mott 212/964-0380
1559|||700 5th ave. at 55th st.|700 5th ave. at 55th st.
1560|californian|||californian
1561|cafe claude|415-392-3505||cafe claude 415-392-3505
1562|||1460 first ave.|1460 first ave.
1563|||1 mission st.|1 mission st.
1564|yama|212-475-0969||yama 212-475-0969
1565|||123 w. 52nd st.|123 w. 52nd st.
1566|mediterranean|||mediterranean
1567|kamogawa|404/841-0314||kamogawa 404/841-0314
1568|american|||american
1569|bar anise|212/355-1112||bar anise 212/355-1112
1570|health food|||health food
1571|||2332 clement st.|2332 clement st.
1572|american|||american
1573|||3799 las vegas blvd. s.|3799 las vegas blvd. s.
1574|seafood|||seafood
1575|morton's of chicago (las vegas)|702-893-0703||morton's of chicago (las vegas) 702-893-0703
1576|||1402 n. highland ave.|1402 n. highland ave.
1577|rib ranch|404/233-7644||rib ranch 404/233-7644
1578|american|||american
1579|||1248 clairmont rd.|1248 clairmont rd.
1580|ct|212/995-8500||ct 212/995-8500
1581|chinese|||chinese
1582|||3226 mission st.|3226 mission st.
1583|asian|||asian
1584|||1900 broadway  between 63rd and 64th sts.|1900 broadway  between 63rd and 64th sts.
1585|||3384 shallowford rd.  chamblee|3384 shallowford rd.  chamblee
1586|bertolini's|702/735-4663||bertolini's 702/735-4663
1587|||200 14th st. nw|200 14th st. nw
1588|bill's place|415-221-5262||bill's place 415-221-5262
1589|asian|||asian
1590|vietnamese|||vietnamese
1591|||228 w. 52nd st.|228 w. 52nd st.
1592|french|||french
1593|hi-life restaurant and lounge|212/249-3600||hi-life restaurant and lounge 212/249-3600
1594|french|||french
1595|||2217 union st.|2217 union st.
1596|la cumbre|415-863-8205||la cumbre 415-863-8205
1597|greek and middle eastern|||greek and middle eastern
1598|||251 e. 53rd st.|251 e. 53rd st.
1599|asian|||asian
1600|joe allen|212/581-6464||joe allen 212/581-6464
1601|||10516 w. pico blvd.|10516 w. pico blvd.
1602|asian|||asian
1603|||3355 geary st.|3355 geary st.
1604|thep phanom|415-431-2526||thep phanom 415-431-2526
1605|seafood|||seafood
1606|le jardin|212/343-9599||le jardin 212/343-9599
1607|||519 s. fairfax ave.|519 s. fairfax ave.
1608|mediterranean|||mediterranean
1609|cafeterias|||cafeterias
1610|ocean star|818-308-2128||ocean star 818-308-2128
1611|||1065 1st ave.  at 58th st.|1065 1st ave.  at 58th st.
1612|r&g lounge|415/982-7877||r&g lounge 415/982-7877
1613|||2635 w. olive ave.|2635 w. olive ave.
1614|mexican|||mexican
1615|italian|||italian
1616|sushi nozawa|818-508-7017||sushi nozawa 818-508-7017
1617|||145 w. 53rd st.|145 w. 53rd st.
1618|san pietro|212/753-9015||san pietro 212/753-9015
1619|french bistro|||french bistro
1620|latin american|||latin american
1621|russian|||russian
1622|toulouse|404-351-9533||toulouse 404-351-9533
1623|||643 park ave. at 66th st.|643 park ave. at 66th st.
1624|t salon|212/925-3700||t salon 212/925-3700
1625|||210 e. 46th st.|210 e. 46th st.
1626|||181 peachtree st.|181 peachtree st.
1627|continental|||continental
1628|||206 206 e. 60th st.|206 206 e. 60th st.
1629|american place|212/684-2122||american place 212/684-2122
1630|continental|||continental
1631|||5955 melrose ave.|5955 melrose ave.
1632|||1737 post st.|1737 post st.
1633|asian|||asian
1634|two two two|212/799-0400||two two two 212/799-0400
1635|lulu restaurant-bis-cafe|415-495-5775||lulu restaurant-bis-cafe 415-495-5775
1636|||122 e. 17th st.|122 e. 17th st.
1637|american (new)|||american (new)
1638|madame ching's|702-894-7111||madame ching's 702-894-7111
1639|||3300 peachtree rd.  grand hyatt|3300 peachtree rd.  grand hyatt
1640|barbecue|||barbecue
1641|bouterin|212/758-0323||bouterin 212/758-0323
1642|eclectic|||eclectic
1643|||240 e. 58th st.|240 e. 58th st.
1644|asian|||asian
1645|||854 seventh ave.|854 seventh ave.
1646|ca'brea|213/938-2863||ca'brea 213/938-2863
1647|||3200 las vegas blvd. s.|3200 las vegas blvd. s.
1648|indian|||indian
1649|103 west|404-233-5993||103 west 404-233-5993
1650|||25 irby ave.|25 irby ave.
1651|tomtom|404/264-1163||tomtom 404/264-1163
1652|italian|||italian
1653|mexican|||mexican
1654|thai|||thai
1655|chopstix|404-255-4868||chopstix 404-255-4868
1656|||3570 las vegas blvd. s|3570 las vegas blvd. s
1657|carnival world|702/252-7777||carnival world 702/252-7777
1658|||2315 clement st.|2315 clement st.
1659|italian|||italian
1660|||1340 1st ave. at 72nd st.|1340 1st ave. at 72nd st.
1661|coffee bar|||coffee bar
1662|chinois on main|310-392-9025||chinois on main 310-392-9025
1663|internet cafe|212/ 614-0747||internet cafe 212/ 614-0747
1664|ralph's diner|702/732-6330||ralph's diner 702/732-6330
1665|||515 valencia st.|515 valencia st.
1666|roosevelt tamale parlor|415-550-9213||roosevelt tamale parlor 415-550-9213
1667|american|||american
1668|||326 w. 46th st.|326 w. 46th st.
1669|coffee bar|||coffee bar
1670|lattanzi ristorante|212/315-0980||lattanzi ristorante 212/315-0980
1671|||400 waller st.|400 waller st.
1672|caffe lure|212/473-2642||caffe lure 212/473-2642
1673|pacific pan pacific hotel|415/929-2087||pacific pan pacific hotel 415/929-2087
1674|||25 cleveland pl.  near spring st.|25 cleveland pl.  near spring st.
1675|french|||french
1676|lucky strike|212/941-0479||lucky strike 212/941-0479
1677|||145 n. atlantic blvd.|145 n. atlantic blvd.
1678|mexican/latin american/spanish|||mexican/latin american/spanish
1679|rubin's red hots|818-905-6515||rubin's red hots 818-905-6515
1680|steakhouses|||steakhouses
1681|||631 b kearny st.|631 b kearny st.
1682|italian|||italian
1683|stars cafe|415/861-4344||stars cafe 415/861-4344
1684|||11288 ventura blvd.|11288 ventura blvd.
1685|italian|||italian
1686|||18 e. 54th st.|18 e. 54th st.
1687|sofia fabulous pizza|212/734-2676||sofia fabulous pizza 212/734-2676
1688|yank sing|415/541-4949||yank sing 415/541-4949
1689|coffeehouses|||coffeehouses
1690|coffee shops|||coffee shops
1691|||903 n. la cienega blvd.|903 n. la cienega blvd.
1692|||143 mercer st. at prince st.|143 mercer st. at prince st.
1693|american|||american
1694|||22 hawthorne st.|22 hawthorne st.
1695|triangolo|212/472-4488||triangolo 212/472-4488
1696|fleur de lys|415-673-7779||fleur de lys 415-673-7779
1697|french (classic)|||french (classic)
1698|aureole|212-319-1660||aureole 212-319-1660
1699|southern|||southern
1700|||13 1st ave.  near 1st st.|13 1st ave.  near 1st st.
1701|||13 w. 54th st.|13 w. 54th st.
1702|xunta|212/614-0620||xunta 212/614-0620
1703|||222 w. 79th st.|222 w. 79th st.
1704|italian|||italian
1705|barney greengrass|310/777-5877||barney greengrass 310/777-5877
1706|||3300 las vegas blvd. s.|3300 las vegas blvd. s.
1707|||176 n. canon dr.|176 n. canon dr.
1708|diners|||diners
1709|spago (las vegas)|702-369-6300||spago (las vegas) 702-369-6300
1710|jo jo|212-223-5656||jo jo 212-223-5656
1711|cajun|||cajun
1712|||402 w. 44th st.|402 w. 44th st.
1713|||103 w. paces ferry rd.|103 w. paces ferry rd.
1714|cassis|404/365-8100||cassis 404/365-8100
1715|clearwater cafe|818/356-0959||clearwater cafe 818/356-0959
1716|||10250 santa monica blvd.|10250 santa monica blvd.
1717|thai|||thai
1718|cafe sunflower|404-256-1675||cafe sunflower 404-256-1675
1719|||3393 peachtree rd.|3393 peachtree rd.
1720|broiler|702/432-7777||broiler 702/432-7777
1721|italian|||italian
1722|cucina di pesce|212-260-6800||cucina di pesce 212-260-6800
1723|||4279 roswell rd.|4279 roswell rd.
1724|il fornaio cucina italiana|310/550-8330||il fornaio cucina italiana 310/550-8330
1725|arnie morton's of chicago|310-246-1501||arnie morton's of chicago 310-246-1501
1726|steakhouses|||steakhouses
1727|house of chan|770-955-9444||house of chan 770-955-9444
1728|||3700 w. flamingo rd.|3700 w. flamingo rd.
1729|mandarin court|702/737-1234||mandarin court 702/737-1234
1730|american|||american
1731|asian|||asian
1732|||82 e. 3rd st.  between 1st and 2nd aves.|82 e. 3rd st.  between 1st and 2nd aves.
1733|||3000 las vegas blvd. s|3000 las vegas blvd. s
1734|betelnut|415/929-8855||betelnut 415/929-8855
1735|||2817 24th st.|2817 24th st.
1736|cafe pierre|212/940-8185||cafe pierre 212/940-8185
1737|tu lan|415-626-0927||tu lan 415-626-0927
1738|old san francisco|||old san francisco
1739|||361 w. 46th st.|361 w. 46th st.
1740|american|||american
1741|le perigord|212/755-6244||le perigord 212/755-6244
1742|faz|415/362-0404||faz 415/362-0404
1743|||169 sullivan st.  between houston and bleecker sts.|169 sullivan st.  between houston and bleecker sts.
1744|steakhouses|||steakhouses
1745|cendrillon asian grill & marimba bar|212/343-9012||cendrillon asian grill & marimba bar 212/343-9012
1746|||500 post st.|500 post st.
1747|mediterranean|||mediterranean
1748|sanppo|415/346-3486||sanppo 415/346-3486
1749|||59 grand st.  between wooster st. and w. broadway|59 grand st.  between wooster st. and w. broadway
1750|coffee bar|||coffee bar
1751|||15322 ventura blvd.|15322 ventura blvd.
1752|||8358 sunset blvd.|8358 sunset blvd.
1753|american (new)|||american (new)
1754|docks|212/ 986-8080||docks 212/ 986-8080
1755|||500 van ness ave.|500 van ness ave.
1756|vertigo|415/433-7250||vertigo 415/433-7250
1757|italian|||italian
1758|asian|||asian
1759|middle eastern|||middle eastern
1760|||1022 madison ave.  near 79th st.|1022 madison ave.  near 79th st.
1761|||427 battery st.|427 battery st.
1762|american (new)|||american (new)
1763|baja fresh|805-498-4049||baja fresh 805-498-4049
1764|spago (los angeles)|310-652-4025||spago (los angeles) 310-652-4025
1765|seafood|||seafood
1766|||345 e. 83rd st.|345 e. 83rd st.
1767|asian|||asian
1768|victor's cafe|212/586-7714||victor's cafe 212/586-7714
1769|||600 stockton st.|600 stockton st.
1770|southwestern|||southwestern
1771|diaghilev|310-854-1111||diaghilev 310-854-1111
1772|felidia|212-758-1479||felidia 212-758-1479
1773|noodle shops|||noodle shops
1774|||210 e. 58th st.|210 e. 58th st.
1775|||3500 las vegas blvd. s.|3500 las vegas blvd. s.
1776|||174 1st ave.  between 10th and 11th sts.|174 1st ave.  between 10th and 11th sts.
1777|american|||american
1778|beesley's of buckhead|404/264-1334||beesley's of buckhead 404/264-1334
1779|california pizza kitchen|310/275-1101||california pizza kitchen 310/275-1101
1780|||3rd st.|3rd st.
1781|march|212-754-6272||march 212-754-6272
1782|montien|212/421-4433||montien 212/421-4433
1783|asian|||asian
1784|||57 w. 58th st.|57 w. 58th st.
1785|arcadia|212-223-2900||arcadia 212-223-2900
1786|||5975 roswell rd.|5975 roswell rd.
1787|||3300 peachtree rd.  grand hyatt|3300 peachtree rd.  grand hyatt
1788|american|||american
1789|el cholo|213/734-2773||el cholo 213/734-2773
1790|holt bros. bar-b-q|770/242-3984||holt bros. bar-b-q 770/242-3984
1791|||4 fish 17300 pacific coast hwy. at sunset blvd.|4 fish 17300 pacific coast hwy. at sunset blvd.
1792|continental|||continental
1793|flying biscuit  the|404-687-8888||flying biscuit  the 404-687-8888
1794|||4111 boulder hwy.|4111 boulder hwy.
1795|seryna|212-980-9393||seryna 212-980-9393
1796|american|||american
1797|||87 e. fourth st.|87 e. fourth st.
1798|||156 second ave.|156 second ave.
1799|jackson diner|718-672-1232||jackson diner 718-672-1232
1800|||414 n. beverly dr.|414 n. beverly dr.
1801|mon kee seafood restaurant|213/628-6717||mon kee seafood restaurant 213/628-6717
1802|||2469 cobb pkwy.|2469 cobb pkwy.
1803|chinese|||chinese
1804|||1510 e. flamingo rd.|1510 e. flamingo rd.
1805|viva mercado's|702/871-8826||viva mercado's 702/871-8826
1806|italian|||italian
1807|monsoon (ny)|212-580-8686||monsoon (ny) 212-580-8686
1808|asian|||asian
1809|seafood|||seafood
1810|||2030 union st.|2030 union st.
1811|continental|||continental
1812|||8 sixth st.|8 sixth st.
1813|capp's corner|415/989-2589||capp's corner 415/989-2589
1814|||2 e. 61st st.|2 e. 61st st.
1815|coffee bar|||coffee bar
1816|caffe vivaldi|212/691-7538||caffe vivaldi 212/691-7538
1817|american|||american
1818|||405 e. 52nd st.|405 e. 52nd st.
1819|american|||american
1820|||161 sutter st.|161 sutter st.
1821|french|||french
1822|||45 mercer st.  between broome and grand sts.|45 mercer st.  between broome and grand sts.
1823|harry denton's|415/882-1333||harry denton's 415/882-1333
1824|||701 stone canyon rd.|701 stone canyon rd.
1825|mediterranean|||mediterranean
1826|cupcake cafe|212/465-1530||cupcake cafe 212/465-1530
1827|||1702 post st.|1702 post st.
1828|mexican|||mexican
1829|||633 3rd ave. at 40th st.|633 3rd ave. at 40th st.
1830|caribbean|||caribbean
1831|felix|212/431-0021||felix 212/431-0021
1832|||600 montgomery st.|600 montgomery st.
1833|zarzuela|415/346-0800||zarzuela 415/346-0800
