id|title|starring|writer|editor|aggregate value
9904||Jason Matthew Biggs|Hank Nelken Greg DePaul||Jason Matthew Biggs Hank Nelken Greg DePaul
9905||Shun Oguri|Erika Tanaka||Shun Oguri Erika Tanaka
9906|February|Sopitnapa Dabbaransi|Yuthlert Sippapak||February Sopitnapa Dabbaransi Yuthlert Sippapak
9907|One Part Sugar|Charles M. Walsh|Hart Matthew Bochner||One Part Sugar Charles M. Walsh Hart Matthew Bochner
9908||Danica Mae McKellar|Chase Parker||Danica Mae McKellar Chase Parker
9909||Harold Lloyd|Clarence Budington Kelland||Harold Lloyd Clarence Budington Kelland
9910|Amma Cheppindi|Sharwanand|Gangaraju Gunnam||Amma Cheppindi Sharwanand Gangaraju Gunnam
9911|Phileine zegt sorry|Kim van Kooten|Robert Jan Westdijk||Phileine zegt sorry Kim van Kooten Robert Jan Westdijk
9912|Tiger Thompson|Henry DeWitt Carey II|Buckleigh Fritz Oxford||Tiger Thompson Henry DeWitt Carey II Buckleigh Fritz Oxford
9913|High School High|Louise Fletcher|Pat Proft||High School High Louise Fletcher Pat Proft
9914|||Robert Presnell||Robert Presnell
9915|The Castle|Anne Tenney|Rob Sitch||The Castle Anne Tenney Rob Sitch
9916|Narendran Makan Jayakanthan Vaka|Cochin Haneefa|||Narendran Makan Jayakanthan Vaka Cochin Haneefa
9917|Porgy and Bess|Sidney Poitier|N. Richard Nash||Porgy and Bess Sidney Poitier N. Richard Nash
9918|Dramma della gelosia - tutti i particolari in cronaca|Marcello Vincenzo Domenico Mastroianni|Age & Scarpelli||Dramma della gelosia - tutti i particolari in cronaca Marcello Vincenzo Domenico Mastroianni Age & Scarpelli
9919|Assassin of Youth|Luana Walters <BR \> Arthur Gardener <BR \> Fay McKenzie <BR \> Michael Owen <BR \>Dorothy Short|Charles A. Browne Elmer Clifton||Assassin of Youth Luana Walters <BR \> Arthur Gardener <BR \> Fay McKenzie <BR \> Michael Owen <BR \>Dorothy Short Charles A. Browne Elmer Clifton
9920||Jennifer L. Morrow|Don McKellar||Jennifer L. Morrow Don McKellar
9921|Man on the Moon|Vincent Schiavelli|Larry Karaszewski||Man on the Moon Vincent Schiavelli Larry Karaszewski
9922|The Hunted|Joan Chen|J. F. Lawton||The Hunted Joan Chen J. F. Lawton
9923|Warlock|Dolores Michaels|Oakley Hall||Warlock Dolores Michaels Oakley Hall
9924||Raiford Chatman Davis|Michael Genet||Raiford Chatman Davis Michael Genet
9925|The Face on the Bar Room Floor|Charles Chaplin|Hugh Antoine d'Arcy||The Face on the Bar Room Floor Charles Chaplin Hugh Antoine d'Arcy
9926|Badkonake sefid|Fereshteh Sadr Orfani|Abbas Kiarostami||Badkonake sefid Fereshteh Sadr Orfani Abbas Kiarostami
9927|Man Bites Dog|Beno?t Poelvoorde|Vincent Tavier||Man Bites Dog Beno?t Poelvoorde Vincent Tavier
9928|A Walk in the Clouds|Keanu Charles Reeves|Harvey Weitzman||A Walk in the Clouds Keanu Charles Reeves Harvey Weitzman
9929|Resident Evil||||Resident Evil
9930|Fatty and Mabel at the San Diego Exposition|Roscoe Arbuckle|||Fatty and Mabel at the San Diego Exposition Roscoe Arbuckle
9931|Academy Award for Best Picture|Frank Theodore Levine|Ted Tally||Academy Award for Best Picture Frank Theodore Levine Ted Tally
9932|The Other Boleyn Girl|Scarlett Johansson|Philippa Gregory||The Other Boleyn Girl Scarlett Johansson Philippa Gregory
9933|||John D.F. Black||John D.F. Black
9934|The year My Parents Went on Vacation|Germano Haiut|Br?ulio Mantovani||The year My Parents Went on Vacation Germano Haiut Br?ulio Mantovani
9935||Jeanne Moreau|Jacques Demy||Jeanne Moreau Jacques Demy
9936|Back to the Woods|Harold Lloyd|||Back to the Woods Harold Lloyd
9937|The Secret of Convict Lake|Gwyllyn Samuel Newton Ford|Ben Hecht||The Secret of Convict Lake Gwyllyn Samuel Newton Ford Ben Hecht
9938|Limbo|Mary Elizabeth Mastrantonio|John Sayles||Limbo Mary Elizabeth Mastrantonio John Sayles
9939|Podium|Beno?t Poelvoorde|Olivier Dazat||Podium Beno?t Poelvoorde Olivier Dazat
9940||Peter Jennings|||Peter Jennings
9941|The Sabata Trilogy|Lee Van Cleef|Renato Izzo||The Sabata Trilogy Lee Van Cleef Renato Izzo
9942|The Girl With the Hungry Eyes|Adele Rein|William Rotsler||The Girl With the Hungry Eyes Adele Rein William Rotsler
9943|Mabel's Strange Predicament|Charles Chaplin|Henry Lehrman||Mabel's Strange Predicament Charles Chaplin Henry Lehrman
9944|A Woman's Fool|Henry DeWitt Carey II|George Hively||A Woman's Fool Henry DeWitt Carey II George Hively
9945|Zombies of the Stratosphere|Judd Holdren|Ronald Davidson||Zombies of the Stratosphere Judd Holdren Ronald Davidson
9946|New Pillow Fight|Marguerite Sessler|||New Pillow Fight Marguerite Sessler
9947||Alyson Renae Michalka|Matt Dearborn||Alyson Renae Michalka Matt Dearborn
9948|La Comunidad|Enrique Vill?n|Jorge Guerricaechevarr?a||La Comunidad Enrique Vill?n Jorge Guerricaechevarr?a
9949|Hell Up in Harlem|Gloria Hendry|Larry Cohen||Hell Up in Harlem Gloria Hendry Larry Cohen
9950|I u2665 Huckabees|Jason Schwartzmann|David O. Russell||I u2665 Huckabees Jason Schwartzmann David O. Russell
9951|Clubs Are Trump|Harold Lloyd|H.M. Walker||Clubs Are Trump Harold Lloyd H.M. Walker
9952|They Made Me a Criminal|Mary Jeanette Robinson|Beulah Marie Dix||They Made Me a Criminal Mary Jeanette Robinson Beulah Marie Dix
9953|Hellraiser: Deader|Douglas William Bradley|Neal Marshall Stevens||Hellraiser: Deader Douglas William Bradley Neal Marshall Stevens
9954|Crush|Anna Chancellor|John McKay||Crush Anna Chancellor John McKay
9955||John Bachelder|Jonathan Heap||John Bachelder Jonathan Heap
9956||Ewen Bremner|Sarah Kane||Ewen Bremner Sarah Kane
9957||Marlon Brando, Jr.|Robert Phippeny||Marlon Brando, Jr. Robert Phippeny
9958|Project:Kill|Nancy Kwan|Galen Thompson||Project:Kill Nancy Kwan Galen Thompson
9959||Ali|||Ali
9960|Appointment in London||John Wooldridge||Appointment in London  John Wooldridge
9961|The X-Files|David William Duchovny|Frank Spotnitz||The X-Files David William Duchovny Frank Spotnitz
9962|Solarbabies|Lukas Daniel Haas|Walon Green and D.A. Metrov||Solarbabies Lukas Daniel Haas Walon Green and D.A. Metrov
9963||Michael Jackson|Stephen King||Michael Jackson Stephen King
9964|Virginia City|Errol Leslie Thomson Flynn|Howard Koch (screenwriter)||Virginia City Errol Leslie Thomson Flynn Howard Koch (screenwriter)
9965|Where the Heart Is|Arthur Christopher Orme Plummer|Telsche Boorman||Where the Heart Is Arthur Christopher Orme Plummer Telsche Boorman
9966||Amar Choudary|Subramani Siva||Amar Choudary Subramani Siva
9967|A Nightmare on Elm Street 5: The Dream Child|Beatrice Boepple|Craig Spector||A Nightmare on Elm Street 5: The Dream Child Beatrice Boepple Craig Spector
9968||Mabel Constanduros|R. Wakeley||Mabel Constanduros R. Wakeley
9969||Parthiban|Cheran (director)||Parthiban Cheran (director)
9970||Sunil Shetty|Kamlesh Pandey||Sunil Shetty Kamlesh Pandey
9971|The Mysterious Dr. Fu Manchu|Johan Verner u00D6lund|Florence Ryerson||The Mysterious Dr. Fu Manchu Johan Verner u00D6lund Florence Ryerson
9972|Peluca|Greg Hansen|Jerusha Hess||Peluca Greg Hansen Jerusha Hess
9973|Noah|Wallace Shawn|Charles F. Bohl||Noah Wallace Shawn Charles F. Bohl
9974|Ghosts Can't Do It|Mary Cathleen Collins|Derek Delevan Harris||Ghosts Can't Do It Mary Cathleen Collins Derek Delevan Harris
9975||Duane Whitaker|Boaz Yakin||Duane Whitaker Boaz Yakin
9976|Jimmy Hollywood|Victoria Abril|Barry Levinson||Jimmy Hollywood Victoria Abril Barry Levinson
9977||Louis Constant|Penny Woolcock||Louis Constant Penny Woolcock
9978||Anne Celeste Heche|Mars Callahan||Anne Celeste Heche Mars Callahan
9979|||Vasili Ama?ukeli||Vasili Ama?ukeli
9980||Elijah Jordan Wood|Charles Kephart||Elijah Jordan Wood Charles Kephart
9981||Christopher Marquette|Polly Draper||Christopher Marquette Polly Draper
9982||Kathleen Doyle Bates|Gordy Hoffman||Kathleen Doyle Bates Gordy Hoffman
9983||Ursula Andress|Gianni Romoli||Ursula Andress Gianni Romoli
9984||Takatoshi Kaneko|Hanado Junji||Takatoshi Kaneko Hanado Junji
9985||Lionel Herbert Blythe|Marcia Davenport||Lionel Herbert Blythe Marcia Davenport
9986|Pushover|Philip Carey|Roy Huggins||Pushover Philip Carey Roy Huggins
9987||Hilmar Jonsson|Denijal Hasanovic||Hilmar Jonsson Denijal Hasanovic
9988||Stuart Wilson|John Eskow||Stuart Wilson John Eskow
9989||Emad Hamadi|||Emad Hamadi
9990|Plenty|Charles Dance|David Hare (dramatist)||Plenty Charles Dance David Hare (dramatist)
9991|Little Manhattan|Cynthia Ellen Nixon|Jennifer Flackett||Little Manhattan Cynthia Ellen Nixon Jennifer Flackett
9992|Les Vampires|Marcel L?vesque|Louis Feuillade||Les Vampires Marcel L?vesque Louis Feuillade
9993||Melissa Davis|Dave Eggers||Melissa Davis Dave Eggers
9994||Eiji Okada|Stewart Stern||Eiji Okada Stewart Stern
9995||Nina Consuela Maud Fock|||Nina Consuela Maud Fock
9996|The Great Morgan|Francis Phillip Wuppermann|||The Great Morgan Francis Phillip Wuppermann
9997|Sgt. Bilko|Daniel Edward Aykroyd|Nat Hiken||Sgt. Bilko Daniel Edward Aykroyd Nat Hiken
9998|DragonBlade|Daniel Wu|Trevor Morris||DragonBlade Daniel Wu Trevor Morris
9999|The Trail of the Lonesome Pine|Charlotte Walker (actress)|Eugene Walter||The Trail of the Lonesome Pine Charlotte Walker (actress) Eugene Walter
10000||Rufus Frederik Sewell|Alex Kurtzman||Rufus Frederik Sewell Alex Kurtzman
10001|Revenge of the Pink Panther|Herbert Charles Angelo Kuchacevich ze Schluderpacheru|Frank Waldman||Revenge of the Pink Panther Herbert Charles Angelo Kuchacevich ze Schluderpacheru Frank Waldman
10002|Idi Amin Dada|Idi Amin|Barbet Schroeder||Idi Amin Dada Idi Amin Barbet Schroeder
10003|Jeffrey|Patrick Hewes Stewart''People of Today'':  Debrett, London, 2007|Paul Rudnick||Jeffrey Patrick Hewes Stewart''People of Today'':  Debrett, London, 2007 Paul Rudnick
10004||Geraldine Sue Page|Theodore Apstein||Geraldine Sue Page Theodore Apstein
10005|Not of This Earth|Paul Birch|Charles B. Griffith||Not of This Earth Paul Birch Charles B. Griffith
10006|Gariba no uchu ryoko|Ky? Sakamoto|Jonathan Swift||Gariba no uchu ryoko Ky? Sakamoto Jonathan Swift
10007||Richa Pallod|||Richa Pallod
10008||Matthew Moore|Malcolm St. Clair||Matthew Moore Malcolm St. Clair
10009||Haley Joel Osment|Mark Sanderson||Haley Joel Osment Mark Sanderson
10010|The Electric Horseman|Charles Robert Redford, Jr.|Paul Gaer||The Electric Horseman Charles Robert Redford, Jr. Paul Gaer
10011|The Brotherhood II: Young Warlocks||||The Brotherhood II: Young Warlocks
10012|Wilby Wonderful||Daniel MacIvor||Wilby Wonderful  Daniel MacIvor
10013|Ladri di biciclette|Lamberto Maggiorani|Cesare Zavattini||Ladri di biciclette Lamberto Maggiorani Cesare Zavattini
10014|Almost a Rescue|Roscoe Arbuckle|||Almost a Rescue Roscoe Arbuckle
10015||AR Tompel|Teuku Zakaria||AR Tompel Teuku Zakaria
10016|A Stranger Among Us|Melanie Richards Griffith|Robert J. Avrech||A Stranger Among Us Melanie Richards Griffith Robert J. Avrech
10017|Along Came a Spider|Monica Potter|James Patterson||Along Came a Spider Monica Potter James Patterson
10018||Soon-Tek Oh|Bruce Cohn   Mark Medoff||Soon-Tek Oh Bruce Cohn   Mark Medoff
10019||Gitte Nielsen|Gianni Romoli||Gitte Nielsen Gianni Romoli
10020|Switches and Sweeties|Oliver Hardy|Anthony Coldeway||Switches and Sweeties Oliver Hardy Anthony Coldeway
10021|Time of the Gypsies|Ljubica Ad?ovi?|Gordan Mihi?||Time of the Gypsies Ljubica Ad?ovi? Gordan Mihi?
10022|C?sar Award for Best Film|Anne Alvaro|Jean-Pierre Bacri||C?sar Award for Best Film Anne Alvaro Jean-Pierre Bacri
10023|Speak|Kristen Jaymes Stewart|Laurie Halse Anderson||Speak Kristen Jaymes Stewart Laurie Halse Anderson
10024||Frank Mitchell|Felix Adler||Frank Mitchell Felix Adler
10025|Grand Prix (Cannes Film Festival)|Stanley Baker|Nicholas Mosley||Grand Prix (Cannes Film Festival) Stanley Baker Nicholas Mosley
10026|BAFTA Award for Best Film|Massimo Troisi|||BAFTA Award for Best Film Massimo Troisi
10027|Asterix Conquers America||Albert Uderzo||Asterix Conquers America  Albert Uderzo
10028||Nicole Mary Kidman|Laura Jones||Nicole Mary Kidman Laura Jones
10029||Jay Leno|Frank Darius Namei||Jay Leno Frank Darius Namei
10030|Stolen Harmony|Ben Bernie|||Stolen Harmony Ben Bernie
10031|Caru00EDcies|Julieta Serrano|Ventura Pons||Caru00EDcies Julieta Serrano Ventura Pons
10032||Rosemarie Lovell|Newell Alexander||Rosemarie Lovell Newell Alexander
10033|Born in East L.A.|Paul Rodriguez|Richard Anthony Marin||Born in East L.A. Paul Rodriguez Richard Anthony Marin
10034|Head|Davy Jones (actor)|John Joseph Nicholson||Head Davy Jones (actor) John Joseph Nicholson
10035|.|John Marwood Cleese|Andrew Adamson||. John Marwood Cleese Andrew Adamson
10036|The Hour-Glass Sanatorium|Jozef Kondrat|Wojciech Has||The Hour-Glass Sanatorium Jozef Kondrat Wojciech Has
10037|Blow|Raymond Liotta|David McKenna||Blow Raymond Liotta David McKenna
10038|Taxi|Dana Elaine Owens|Thomas Lennon||Taxi Dana Elaine Owens Thomas Lennon
10039|Dead Mary|Reagan Pasternak|Peter Sheldrick Christopher Warre Smets||Dead Mary Reagan Pasternak Peter Sheldrick Christopher Warre Smets
10040|The Flintstone Kids' "Just Say No" Special|Larry C. Robinson II|||The Flintstone Kids' "Just Say No" Special Larry C. Robinson II
10041|Johnson Family Vacation|Bow Wow|Todd R. Jones||Johnson Family Vacation Bow Wow Todd R. Jones
10042||Marie Magdalene Dietrich|Jerome Irving Wald||Marie Magdalene Dietrich Jerome Irving Wald
10043||Missy Francis|William Hanley||Missy Francis William Hanley
10044|Arisan!|Surya Saputra|Joko Anwar||Arisan! Surya Saputra Joko Anwar
10045||Saud|Asif Ali Pota||Saud Asif Ali Pota
10046|Han cheng gong lu00FCe|Jen Hsian-Chih|||Han cheng gong lu00FCe Jen Hsian-Chih
10047||Georges Meliers|Georges Meliers||Georges Meliers Georges Meliers
10048|Puppet Master 4|Chandra West|Jo Duffy||Puppet Master 4 Chandra West Jo Duffy
10049|Le Pu00E8re Nou00EBl a les yeux bleus|Jean-Pierre L?aud|Jean Eustache||Le Pu00E8re Nou00EBl a les yeux bleus Jean-Pierre L?aud Jean Eustache
10050||Collin Doyle Aaron Talbot Cameron McLay Josu00E9 DeSousa Darcy Shaw Elda Pinckney Ethan Reitz|Randal Atamaniuk||Collin Doyle Aaron Talbot Cameron McLay Josu00E9 DeSousa Darcy Shaw Elda Pinckney Ethan Reitz Randal Atamaniuk
10051||Amjad Khan|||Amjad Khan
10052||Paul Richter|Thea von Harbou||Paul Richter Thea von Harbou
10053|Butterfly|Walter Stacy Keach Jr.|James M. Cain||Butterfly Walter Stacy Keach Jr. James M. Cain
10054||Ekin Cheng|Manfred Wong||Ekin Cheng Manfred Wong
10055||Emma Williams|Stephen John Coogan||Emma Williams Stephen John Coogan
10056|Body and Soul|Julia Theresa Russell|Oscar Micheaux||Body and Soul Julia Theresa Russell Oscar Micheaux
10057||Edgar Kennedy|||Edgar Kennedy
10058||Trevy Woods|Oscar Micheaux||Trevy Woods Oscar Micheaux
10059||Ralph Forbes|William Archer (critic)||Ralph Forbes William Archer (critic)
10060|Nuvvostanante Nenoddantana|Trisha Krishnamurthy|Veeru Potla||Nuvvostanante Nenoddantana Trisha Krishnamurthy Veeru Potla
10061|Thoroughly Modern Millie|Mary Tyler Moore|Richard Morris||Thoroughly Modern Millie Mary Tyler Moore Richard Morris
10062|The Fighting Gringo|Henry DeWitt Carey II|Maude George||The Fighting Gringo Henry DeWitt Carey II Maude George
10063|Young Guns|Lou Diamond Phillips|John Fusco||Young Guns Lou Diamond Phillips John Fusco
10064|The Gingerdead Man|Larry Cedar|William Butler||The Gingerdead Man Larry Cedar William Butler
10065||Tom Savini|Scott Bunt||Tom Savini Scott Bunt
10066|Arrival of Tongkin Train||American Mutoscope & Biograph flims||Arrival of Tongkin Train  American Mutoscope & Biograph flims
10067|The Student Prince in Old Heidelberg|Ramon Novarro|||The Student Prince in Old Heidelberg Ramon Novarro
10068|The Sanitarium|Roscoe Arbuckle|||The Sanitarium Roscoe Arbuckle
10069|Good Morning, Vietnam|Robin McLaurim Williams|Mitch Markowitz||Good Morning, Vietnam Robin McLaurim Williams Mitch Markowitz
10070|The Christmas Toy|Jerry Nelson|Laura Phillips||The Christmas Toy Jerry Nelson Laura Phillips
10071|Fail-Safe|Walter John Matthow|Walter Bernstein||Fail-Safe Walter John Matthow Walter Bernstein
10072||Yoshiko Kuga|K?go Noda||Yoshiko Kuga K?go Noda
10073||Nanda (actress)|||Nanda (actress)
10074|Guns|Roberta Vasquez|Andy Sidaris||Guns Roberta Vasquez Andy Sidaris
10075||Carmine Orrico|Vincenzo Mannino||Carmine Orrico Vincenzo Mannino
10076||Jacques Bouanich|Philippe Muyl||Jacques Bouanich Philippe Muyl
10077|Pete Kelly's Blues|Andrew Vabre Devine|Richard L. Breen||Pete Kelly's Blues Andrew Vabre Devine Richard L. Breen
10078|Indian|Goundamani|S. Shankar||Indian Goundamani S. Shankar
10079||Ahmed Butt|||Ahmed Butt
10080|Curse of the Puppet Master|Emily Harrison|Benjamin Carr David Schmoeller||Curse of the Puppet Master Emily Harrison Benjamin Carr David Schmoeller
10081||Jyothika|||Jyothika
10082||Darlene Myrick|Barry Mahon||Darlene Myrick Barry Mahon
10083|Oranges and Lemons|Arthur Stanley Jefferson|||Oranges and Lemons Arthur Stanley Jefferson
10084||James Craig|Aaron Hoffman||James Craig Aaron Hoffman
10085|Halloweentown|Kimberly J. Brown|Paul Bernbaum Jon Cooksey Ali Matheson||Halloweentown Kimberly J. Brown Paul Bernbaum Jon Cooksey Ali Matheson
10086||Lucy Alexis Liu|Ron Shelton||Lucy Alexis Liu Ron Shelton
10087|Mambo Italiano|Claudia Ferri|Steve Galluccio||Mambo Italiano Claudia Ferri Steve Galluccio
10088|Danger Within|Richard Samuel Attenborough|Eric Ambler||Danger Within Richard Samuel Attenborough Eric Ambler
10089|SuperBabies: Baby Geniuses 2|Scott Vincent James Baio|Steven Paul (story) Gregory Poppen||SuperBabies: Baby Geniuses 2 Scott Vincent James Baio Steven Paul (story) Gregory Poppen
10090|I Am a Sex Addict|Rebecca Lord|Caveh Zahedi||I Am a Sex Addict Rebecca Lord Caveh Zahedi
10091|The Little Mermaid Anime|Kirsten Bishop|Hans Christian Andersen||The Little Mermaid Anime Kirsten Bishop Hans Christian Andersen
10092|Hei de Vencer||Luiz de Barros||Hei de Vencer  Luiz de Barros
10093|Hamam||Ferzan Ozpetek||Hamam  Ferzan Ozpetek
10094||Mel Tillis|Robert G. Kane||Mel Tillis Robert G. Kane
10095|Category 7: The End of the World||Roger Soffer||Category 7: The End of the World  Roger Soffer
10096||Mackenzie Firgens|The Butcher Brothers Adam Weis||Mackenzie Firgens The Butcher Brothers Adam Weis
10097|Save the Last Dance 2|Columbus Keith Short, J|Duane Adler Kwame Nyanning||Save the Last Dance 2 Columbus Keith Short, J Duane Adler Kwame Nyanning
10098||Tamara Mark|Timothy March||Tamara Mark Timothy March
10099||Rhys Muldoon|Kevin Carlin||Rhys Muldoon Kevin Carlin
10100||Josu00E9 Elu00EDas Moreno Josu00E9 Luis Aguirre Armando Arriola Cesu00E1reo Quezadas|Adolfo Torres Portillo Renu00E9 Cardona||Josu00E9 Elu00EDas Moreno Josu00E9 Luis Aguirre Armando Arriola Cesu00E1reo Quezadas Adolfo Torres Portillo Renu00E9 Cardona
10101|Moi, Tintin||||Moi, Tintin
10102|The Seven Year Itch|Samuel Yewell Tompkins|Samuel Wilder||The Seven Year Itch Samuel Yewell Tompkins Samuel Wilder
10103|La commare secca|Alfredo Leggi|Pier Paolo Pasolini||La commare secca Alfredo Leggi Pier Paolo Pasolini
10104||Miranda Webb|David Storey||Miranda Webb David Storey
10105|The Great Waldo Pepper|Geoffrey Lewis|William Goldman||The Great Waldo Pepper Geoffrey Lewis William Goldman
10106||Madeline Rose Zima|Jason Dudek||Madeline Rose Zima Jason Dudek
10107||Clint Howard|Sven Davison||Clint Howard Sven Davison
10108|Star Wreck: In the Pirkinning|Satu Heli?|Jarmo Puskala||Star Wreck: In the Pirkinning Satu Heli? Jarmo Puskala
10109|Kazoku Gu0113mu|Saori Yuki|Yohei Honma||Kazoku Gu0113mu Saori Yuki Yohei Honma
10110|Across the Tracks|David Anthony Marshall|Sandy Tung||Across the Tracks David Anthony Marshall Sandy Tung
10111||Cathy Downs|Lou Rusoff||Cathy Downs Lou Rusoff
10112|Jungle Emperor Leo: The Movie||Osamu Tezuka||Jungle Emperor Leo: The Movie  Osamu Tezuka
10113||Simone Renu00E9e Roussel|Georges Kessel||Simone Renu00E9e Roussel Georges Kessel
10114|The Battle of the Century|Arthur Stanley Jefferson|Harry Eugene Roach||The Battle of the Century Arthur Stanley Jefferson Harry Eugene Roach
10115|Lonesome Luke, Messenger|Harold Lloyd|||Lonesome Luke, Messenger Harold Lloyd
10116||Gastone Moschin|Piero De Bernardi||Gastone Moschin Piero De Bernardi
10117||Stephen Chow|Wong Jing||Stephen Chow Wong Jing
10118|Moondram Pirai|Kamal Haasan|||Moondram Pirai Kamal Haasan
10119|The Actors|Michael Caine|Conor McPherson||The Actors Michael Caine Conor McPherson
10120||Somchai Kemglad|Yuthlert Sippapak||Somchai Kemglad Yuthlert Sippapak
10121|Wicker Park|Rose Judith Esther Byrne|Brandon Boyce||Wicker Park Rose Judith Esther Byrne Brandon Boyce
10122|Caro diario|Antonio Neiwiller|Nanni Moretti||Caro diario Antonio Neiwiller Nanni Moretti
10123||Naoko Otani|YOSHI||Naoko Otani YOSHI
10124|Smile|Barbara Hall|||Smile Barbara Hall
10125|Family Plot|William Devane|Ernest Lehman||Family Plot William Devane Ernest Lehman
10126||Charles McGraw|Story: Hugh King Screenplay: Dick Irving Hyland Hugh King||Charles McGraw Story: Hugh King Screenplay: Dick Irving Hyland Hugh King
10127|Neak sre|Mom Soth|Rithy Panh||Neak sre Mom Soth Rithy Panh
10128|Relative Values|Jeanne Tripplehorn|||Relative Values Jeanne Tripplehorn
10129||Lola Lane (actress)|Frederick Hazlitt Brennan||Lola Lane (actress) Frederick Hazlitt Brennan
10130|The Americanization of Emily|Melvyn Edouard Hesselberg|Paddy Chayefsky||The Americanization of Emily Melvyn Edouard Hesselberg Paddy Chayefsky
10131|Tide of Empire|Lucille Fay LeSueur|||Tide of Empire Lucille Fay LeSueur
10132||James Stewart (actor)|Borden Chase||James Stewart (actor) Borden Chase
10133|Jury Prize (Cannes Film Festival)|Pavel Nazarov|Vitali Kanevsky||Jury Prize (Cannes Film Festival) Pavel Nazarov Vitali Kanevsky
10134||Adriana Russo|Sergio Citti||Adriana Russo Sergio Citti
10135|Whisper|Joel Edgerton|Christopher Borrelli||Whisper Joel Edgerton Christopher Borrelli
10136|The Grapes of Wrath|Eddie Quillan|John Steinbeck||The Grapes of Wrath Eddie Quillan John Steinbeck
10137|The Molly Maguires|Thomas Sean Connery|Walter Bernstein||The Molly Maguires Thomas Sean Connery Walter Bernstein
10138||Margaret Colin|Karen Moncrieff||Margaret Colin Karen Moncrieff
10139||Paul Franklin Dano|James Marsh (director)||Paul Franklin Dano James Marsh (director)
10140|Semi-Tough|Jill Clayburgh|Dan Jenkins||Semi-Tough Jill Clayburgh Dan Jenkins
10141||Hung Kam-Bo|Szeto Chuek-Hon||Hung Kam-Bo Szeto Chuek-Hon
10142||Jason Christopher Marsden|George Huang||Jason Christopher Marsden George Huang
10143||Pablo Echarri|Adri?n Suar||Pablo Echarri Adri?n Suar
10144|How To Cheat In The Leaving Certificate|Garret Baker</br>Aileen O'Connor</br>Philip Bredin</br>Alison Coffey</br>John Wright</br>Tara Ford|Graham Jones</br>Tadhg O'Higgins</br>Aislinn O'Loughlin||How To Cheat In The Leaving Certificate Garret Baker</br>Aileen O'Connor</br>Philip Bredin</br>Alison Coffey</br>John Wright</br>Tara Ford Graham Jones</br>Tadhg O'Higgins</br>Aislinn O'Loughlin
10145||Keith Scott (Australia)|Yoram Gross||Keith Scott (Australia) Yoram Gross
10146|The Man in Grey|James Lablache Stewart|Doreen Montgomery||The Man in Grey James Lablache Stewart Doreen Montgomery
10147|Lassie|Peter Seamus Ou2019Toole|Eric Knight||Lassie Peter Seamus Ou2019Toole Eric Knight
10148||Alex Nicol|Richard Leder||Alex Nicol Richard Leder
10149|Drillbit Taylor|David Benjamin Dorfman|John Hughes (film director)||Drillbit Taylor David Benjamin Dorfman John Hughes (film director)
10150|John Paul Jones|Ruth Elizabeth Davis|John N.B. Villiers-Farrow||John Paul Jones Ruth Elizabeth Davis John N.B. Villiers-Farrow
10151|Midnight Cowboy|Jonathan Vincent Voight|Waldo Salt||Midnight Cowboy Jonathan Vincent Voight Waldo Salt
10152||Horst Werner Buchholz|Gianni Romoli||Horst Werner Buchholz Gianni Romoli
10153||Sunny Deol|||Sunny Deol
10154|Gruppo di famiglia in un interno|Stefano Patrizi|Luchino Visconti di Modrone||Gruppo di famiglia in un interno Stefano Patrizi Luchino Visconti di Modrone
10155|Devil in Miss Jones||Gerard Damiano||Devil in Miss Jones  Gerard Damiano
10156|The Family Way|Hywel Thomas Bennett|Jeffrey Dell||The Family Way Hywel Thomas Bennett Jeffrey Dell
10157||Brian Steidle|Ricki Stern||Brian Steidle Ricki Stern
10158|Como Deus Castiga||Antu00F4nio Leite and Miguel Milano||Como Deus Castiga  Antu00F4nio Leite and Miguel Milano
10159|The Assayer of Lone Gap|Perry Banks|||The Assayer of Lone Gap Perry Banks
10160|Men with Brooms|Peter Outerbridge|John Krizanc||Men with Brooms Peter Outerbridge John Krizanc
10161|Nights in Rodanthe|Scott Glenn|Nicholas Sparks||Nights in Rodanthe Scott Glenn Nicholas Sparks
10162|Gigli|Benjamin Gu00E9za Affleck|Martin Brest||Gigli Benjamin Gu00E9za Affleck Martin Brest
10163||Key Meersman|Hugo Butler||Key Meersman Hugo Butler
10164||Corey Johnson|Danny Lerner||Corey Johnson Danny Lerner
10165||Riya Dev Varma|||Riya Dev Varma
10166|The Plight of Clownana|Michael Ray Clark|Chris Dowling||The Plight of Clownana Michael Ray Clark Chris Dowling
10167|Aida|Robert Grundin|Claes Fellbom||Aida Robert Grundin Claes Fellbom
10168|The Great Debaters|Denzel Whitaker|Suzan-Lori Parks||The Great Debaters Denzel Whitaker Suzan-Lori Parks
10169||Hans Walter Konrad Veidt|Walter Anthony||Hans Walter Konrad Veidt Walter Anthony
10170||John Stephen Goodman|John Fusco||John Stephen Goodman John Fusco
10171||Bob Buchholz|||Bob Buchholz
10172||Kamal Haasan|||Kamal Haasan
10173|Pygmalion|Wilfrid Lawson (actor)|Cecil Lewis||Pygmalion Wilfrid Lawson (actor) Cecil Lewis
10174||Keith David|Chris Fisher||Keith David Chris Fisher
10175|Arch of Triumph|Ingrid Bergman|Irwin Shaw||Arch of Triumph Ingrid Bergman Irwin Shaw
10176|||Vasili Ama?ukeli||Vasili Ama?ukeli
