id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/deathYear|http://dbpedia.org/ontology/birthYear|https://www.scads.de/movieBenchmark/ontology/endYear|https://www.scads.de/movieBenchmark/ontology/startYear|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/primaryProfessions|https://www.scads.de/movieBenchmark/ontology/runtimeMinutes|aggregate value
2808||Vince Barnett|||1977-01-01|1902-01-01||||actor,soundtrack,writer||1977-01-01 Vince Barnett actor,soundtrack,writer 1902-01-01
2809||Martin Campbell||||1943-01-01||||director,producer,actor||1943-01-01 Martin Campbell director,producer,actor
2810|Goodness Gracious Me||||||2015-01-01|1998-01-01|Comedy||45|1998-01-01 45 0 2015-01-01 Goodness Gracious Me Comedy Goodness Gracious Me
2811||Kevin Nealon||||1953-01-01||||actor,writer,soundtrack||Kevin Nealon actor,writer,soundtrack 1953-01-01
2812||Elly Choval||||||||||Elly Choval
2813||Fay Baker|||1987-01-01|1917-01-01||||actress||1917-01-01 actress Fay Baker 1987-01-01
2814||Michael Whaley||||||||writer||Michael Whaley writer
2815||Bruce Willis||||1955-01-01||||actor,soundtrack,producer||Bruce Willis actor,soundtrack,producer 1955-01-01
2816||Heinz Marecek||||1945-01-01||||actor,director,writer||1945-01-01 Heinz Marecek actor,director,writer
2817||Paulette Goddard|||1990-01-01|1910-01-01||||actress,soundtrack,producer||actress,soundtrack,producer 1990-01-01 1910-01-01 Paulette Goddard
2818||Marilyn Erskine||||1926-01-01||||actress||Marilyn Erskine 1926-01-01 actress
2819||Fiona Allen||||1965-01-01||||actress,writer||actress,writer Fiona Allen 1965-01-01
2820|The Wise One||28|3||||1956-01-01|Drama||30|30 The Wise One The Wise One 0 Drama 1956-01-01 28 3
2821|Blood Ties: Part 2||2|6||||1997-01-01|Crime,Drama,Mystery|||Crime,Drama,Mystery 0 2 1997-01-01 Blood Ties: Part 2 6 Blood Ties: Part 2
2822|To Catch the Kaiser||22|1||||1963-01-01|Drama,Sport,Western|||1 To Catch the Kaiser Drama,Sport,Western 0 22 1963-01-01 To Catch the Kaiser
2823|Le pacte Hitler-Staline|||||||2019-01-01|Documentary,History||102|Le pacte Hitler-Staline Documentary,History Le pacte Hitler-Staline 2019-01-01 102 0
2824||Samuel H. Gruber||||||||miscellaneous,actor||Samuel H. Gruber miscellaneous,actor
2825||Barney Phillips|||1982-01-01|1913-01-01||||actor||1982-01-01 actor Barney Phillips 1913-01-01
2826|We Survived A Year... Barely||1|2||||2019-01-01|Drama,Family,Reality-TV||42|2 42 Drama,Family,Reality-TV 0 1 We Survived A Year... Barely 2019-01-01 We Survived A Year... Barely
2827||David Saber||||||||actor||actor David Saber
2828|In the Good Old Summertime||3|6||||1958-01-01|Drama||30|30 0 In the Good Old Summertime Drama In the Good Old Summertime 6 1958-01-01 3
2829|The Fire||22|1||||1961-01-01|Adventure,Drama,Family||30|30 1 The Fire 0 22 Adventure,Drama,Family 1961-01-01 The Fire
2830|Balangiga: Howling Wilderness|||||||2017-01-01|Drama||120|120 Drama 2017-01-01 Balangiga: Howling Wilderness Balangiga: Howling Wilderness 0
2831||Elizabeth Marvel||||1969-01-01||||actress,director,writer||1969-01-01 actress,director,writer Elizabeth Marvel
2832||Patricia Hardy|||2011-01-01|1931-01-01||||actress||actress 2011-01-01 1931-01-01 Patricia Hardy
2833||P. Walter Jacob|||1977-01-01|1905-01-01||||actor||1977-01-01 P. Walter Jacob actor 1905-01-01
2834||Jason Yoshimura||||||||writer||writer Jason Yoshimura
2835||Richard Loo|||1983-01-01|1903-01-01||||actor||actor 1983-01-01 Richard Loo 1903-01-01
2836||Abram S. Ginnes|||2006-01-01|1914-01-01||||writer,producer||writer,producer Abram S. Ginnes 2006-01-01 1914-01-01
2837||David Mills|||2010-01-01|1961-01-01||||producer,writer,miscellaneous||producer,writer,miscellaneous 2010-01-01 1961-01-01 David Mills
2838||Nicola Furst||||||||actress,director,producer||actress,director,producer Nicola Furst
2839||Deb Cano||||||||||Deb Cano
2840||Laura Devon|||2007-01-01|1931-01-01||||actress,soundtrack||Laura Devon 1931-01-01 actress,soundtrack 2007-01-01
2841|Der Fall Schurzheim||1|5||||1967-01-01|Drama||73|73 Der Fall Schurzheim 1967-01-01 0 1 Drama 5 Der Fall Schurzheim
2842|Elizabeth|||||||2000-01-01|Documentary,Drama||200|Elizabeth 200 Documentary,Drama 0 Elizabeth 2000-01-01
2843|The Lamp||4|2||||1954-01-01|Drama||30|2 30 The Lamp 1954-01-01 0 Drama The Lamp 4
2844||Michael Murphy||||||||producer||producer Michael Murphy
2845|Star Wish||17|1||||1961-01-01|Adventure,Drama,Family||30|30 Star Wish 1 0 17 Adventure,Drama,Family 1961-01-01 Star Wish
2846||Mikey Anderson||||||||actor,special_effects||actor,special_effects Mikey Anderson
2847||Frank Sullivan|||1972-01-01|1896-01-01||||editor,cinematographer,writer||1896-01-01 Frank Sullivan 1972-01-01 editor,cinematographer,writer
2848|Snake Researcher||23|2||||2006-01-01|Reality-TV||44|2 Reality-TV 44 Snake Researcher 0 23 2006-01-01 Snake Researcher
2849||Dominic Muldowney||||1952-01-01||||composer,soundtrack,music_department||composer,soundtrack,music_department Dominic Muldowney 1952-01-01
2850||Carl Lange|||1999-01-01|1909-01-01||||actor||actor 1909-01-01 Carl Lange 1999-01-01
2851||Ed Naha||||1950-01-01||||writer,producer,soundtrack||writer,producer,soundtrack Ed Naha 1950-01-01
2852||Helmuth Ashley||||1919-01-01||||director,cinematographer,writer||director,cinematographer,writer 1919-01-01 Helmuth Ashley
2853||Koen van der Molen||||||||actor||Koen van der Molen actor
2854||Elliott Reid|||2013-01-01|1920-01-01||||actor,writer||Elliott Reid actor,writer 2013-01-01 1920-01-01
2855||Frank Lovejoy|||1962-01-01|1912-01-01||||actor,soundtrack||Frank Lovejoy actor,soundtrack 1962-01-01 1912-01-01
2856|Dear Midge||34|1||||1954-01-01|Drama||30|30 1 1954-01-01 Dear Midge 0 34 Drama Dear Midge
2857|Hate Floats||2|2||||2006-01-01|Action,Adventure,Animation||22|2 Action,Adventure,Animation 22 0 2 2006-01-01 Hate Floats Hate Floats
2858||Paul Stanley|||2002-01-01|1922-01-01||||director,producer,soundtrack||1922-01-01 2002-01-01 Paul Stanley director,producer,soundtrack
2859||Gordon Michael Woolvett||||1970-01-01||||actor,director,writer||1970-01-01 Gordon Michael Woolvett actor,director,writer
2860||Frances Brandt||||||||actress||Frances Brandt actress
2861||Libby Hinson||||||||writer,sound_department||writer,sound_department Libby Hinson
2862||Kashaf Chaudhry||||||||director,assistant_director,camera_department||Kashaf Chaudhry director,assistant_director,camera_department
2863||Katy Perry||||1984-01-01||||soundtrack,actress,composer||soundtrack,actress,composer Katy Perry 1984-01-01
2864|The Dream Merchant||24|3||||1962-01-01|Adventure||60|Adventure The Dream Merchant 1962-01-01 0 24 The Dream Merchant 3 60
2865|Suruga monki sono ni||7|1||||2009-01-01|Action,Animation,Comedy||24|1 7 Suruga monki sono ni Action,Animation,Comedy 24 0 Suruga monki sono ni 2009-01-01
2866|Bad Medicine||4|5||||1996-01-01|Crime,Drama,Mystery|||Bad Medicine 1996-01-01 Crime,Drama,Mystery 0 Bad Medicine 5 4
2867||Anna Kashfi|||2015-01-01|1934-01-01||||actress||actress 2015-01-01 Anna Kashfi 1934-01-01
2868||Liang Joo Leow||||||||||Liang Joo Leow
2869||Lewis Martin|||1969-01-01|1894-01-01||||actor||actor 1894-01-01 1969-01-01 Lewis Martin
2870||Billy Chapin|||2016-01-01|1943-01-01||||actor||1943-01-01 actor Billy Chapin 2016-01-01
2871||Mark Dana|||2015-01-01|1920-01-01||||actor||actor 2015-01-01 1920-01-01 Mark Dana
2872||Lilly Gordon||||||||writer||writer Lilly Gordon
2873||William Henry|||1982-01-01|1914-01-01||||actor,soundtrack||1982-01-01 actor,soundtrack William Henry 1914-01-01
2874||Kiefer Slaton||||||||actor||Kiefer Slaton actor
2875||Robert Montgomery Jr.|||2000-01-01|1936-01-01||||actor||2000-01-01 actor Robert Montgomery Jr. 1936-01-01
2876||Rebecca Hall||||1982-01-01||||actress,director,writer||Rebecca Hall actress,director,writer 1982-01-01
2877||Martin Ragaway|||1989-01-01|1923-01-01||||writer,miscellaneous,director||writer,miscellaneous,director Martin Ragaway 1923-01-01 1989-01-01
2878||Noreen Kershaw||||1950-01-01||||director,actress||Noreen Kershaw director,actress 1950-01-01
2879||Patty Wynne-Hughs||||||||actress||Patty Wynne-Hughs actress
2880||Katie Mcquerrey||||||||editor,editorial_department,miscellaneous||editor,editorial_department,miscellaneous Katie Mcquerrey
2881|Einstein Revealed|||||||1996-01-01|Biography,Documentary||105|Biography,Documentary 105 Einstein Revealed Einstein Revealed 1996-01-01 0
2882||Ivan Andonov|||2011-01-01|1934-01-01||||actor,director,writer||2011-01-01 Ivan Andonov actor,director,writer 1934-01-01
2883||Yoo Ji-Tae||||1976-01-01||||actor,director,writer||Yoo Ji-Tae 1976-01-01 actor,director,writer
2884|Keyyo g?star||2|3||||2019-01-01|Comedy|||0 2 Comedy Keyyo g?star 2019-01-01 3 Keyyo g?star
2885||Robin Stevens||||||||actor,miscellaneous,writer||actor,miscellaneous,writer Robin Stevens
2886||Robbie Budd||||||||actor||actor Robbie Budd
2887||Mary Harron||||1953-01-01||||director,producer,writer||director,producer,writer Mary Harron 1953-01-01
2888||Milton Geiger|||1971-01-01|1907-01-01||||writer,director||1971-01-01 Milton Geiger writer,director 1907-01-01
2889|Return to Spider-Skull Island||13|1||||2004-01-01|Action,Adventure,Animation||22|2004-01-01 1 Return to Spider-Skull Island Action,Adventure,Animation 22 0 13 Return to Spider-Skull Island
2890||Rebecca Front||||1964-01-01||||actress,writer,soundtrack||actress,writer,soundtrack Rebecca Front 1964-01-01
2891||Roger Angell||||1920-01-01||||miscellaneous,writer||1920-01-01 Roger Angell miscellaneous,writer
2892||Alex Hall||||||||editor,producer,director||editor,producer,director Alex Hall
2893||Philip Voss|||2020-01-01|1936-01-01||||actor||Philip Voss actor 2020-01-01 1936-01-01
2894|The Hidden One||12|5||||1958-01-01|Drama||30|30 The Hidden One 0 12 Drama The Hidden One 1958-01-01 5
2895||Murray Matheson|||1985-01-01|1912-01-01||||actor||1985-01-01 actor Murray Matheson 1912-01-01
2896||Wolfgang B?ttner|||1990-01-01|1912-01-01||||actor,miscellaneous||1990-01-01 actor,miscellaneous 1912-01-01 Wolfgang B?ttner
2897|The Challenge||20|3||||1956-01-01|Drama||30|30 The Challenge 20 The Challenge 0 Drama 1956-01-01 3
2898|The Hot Towel||4|7||||2009-01-01|Comedy||29|The Hot Towel 0 The Hot Towel 29 7 Comedy 4 2009-01-01
2899||Tim Janis||||||||composer,music_department,director||composer,music_department,director Tim Janis
2900||Fumihiko Tachiki||||1961-01-01||||actor,soundtrack||Fumihiko Tachiki 1961-01-01 actor,soundtrack
2901||David Schwimmer||||1966-01-01||||actor,director,soundtrack||1966-01-01 David Schwimmer actor,director,soundtrack
2902||Ira Oberberg||||1918-01-01||||editor,editorial_department||editor,editorial_department 1918-01-01 Ira Oberberg
2903||Carmela Hunt||||||||||Carmela Hunt
2904|Devil in Paradise||26|1||||1962-01-01|Adventure|||1 Adventure 1962-01-01 0 Devil in Paradise 26 Devil in Paradise
2905||Glenn Wheaton||||||||writer,producer||writer,producer Glenn Wheaton
2906|The Black Pearl||2|1||||1959-01-01|Adventure||50|1 Adventure The Black Pearl The Black Pearl 0 2 1959-01-01 50
2907||John Abbott|||1996-01-01|1905-01-01||||actor,soundtrack||1996-01-01 actor,soundtrack John Abbott 1905-01-01
2908||Anna Chancellor||||1965-01-01||||actress,sound_department||Anna Chancellor actress,sound_department 1965-01-01
2909||Gary Janetti||||1966-01-01||||producer,writer,actor||producer,writer,actor 1966-01-01 Gary Janetti
2910||Carol Cuddy||||||||producer,production_manager,location_management||Carol Cuddy producer,production_manager,location_management
2911||F. Murray Abraham||||1939-01-01||||actor,soundtrack||F. Murray Abraham actor,soundtrack 1939-01-01
2912||Gillian Corderoy||||||||writer||writer Gillian Corderoy
2913||Sylvie Landra||||||||editor,producer,editorial_department||editor,producer,editorial_department Sylvie Landra
2914||Jodie Foster||||1962-01-01||||actress,director,producer||1962-01-01 Jodie Foster actress,director,producer
2915||Christina Agamanolis||||||||composer||composer Christina Agamanolis
2916||Val Bisoglio||||1926-01-01||||actor||1926-01-01 Val Bisoglio actor
2917|Christmas Party||9|1||||2001-01-01|Action,Drama,Mystery|||2001-01-01 9 1 Christmas Party 0 Action,Drama,Mystery Christmas Party
2918|Emma Molin g?star||3|3||||2019-01-01|Comedy|||Emma Molin g?star 0 Emma Molin g?star Comedy 2019-01-01 3 3
2919||Cathleen Nesbitt|||1982-01-01|1888-01-01||||actress||1982-01-01 Cathleen Nesbitt 1888-01-01 actress
2920|Captain Butcher||19|2||||1961-01-01|Adventure||60|2 Adventure 19 0 Captain Butcher Captain Butcher 1961-01-01 60
2921||Anna Vaney||||||||producer||Anna Vaney producer
2922|Ghosts of the Sargasso||6|1||||2004-01-01|Action,Adventure,Animation||22|2004-01-01 1 Action,Adventure,Animation Ghosts of the Sargasso 22 0 Ghosts of the Sargasso 6
2923||Kurt Lockwood||||1970-01-01||||actor,director,writer||1970-01-01 Kurt Lockwood actor,director,writer
2924|The Wedding||21|4||||1996-01-01|Crime,Drama,Mystery|||1996-01-01 Crime,Drama,Mystery 0 The Wedding 21 The Wedding 4
2925|Charlie Chaplin||2|3||||2006-01-01|Biography,Comedy,Documentary|||Charlie Chaplin 0 2 Biography,Comedy,Documentary 2006-01-01 Charlie Chaplin 3
2926||John Tams||||1949-01-01||||actor,soundtrack,music_department||1949-01-01 John Tams actor,soundtrack,music_department
2927||Lani Kai|||1999-01-01|1936-01-01||||actor,soundtrack||Lani Kai actor,soundtrack 1936-01-01 1999-01-01
2928||Ashly Holloway||||||||actress,soundtrack||Ashly Holloway actress,soundtrack
2929||Jessie Thomson||||||||casting_director,miscellaneous,director||Jessie Thomson casting_director,miscellaneous,director
2930|The Western Book of the Dead||1|2||||2015-01-01|Crime,Drama,Mystery||60|2 The Western Book of the Dead Crime,Drama,Mystery 0 The Western Book of the Dead 1 2015-01-01 60
2931||Kathryn Bigelow||||1951-01-01||||director,producer,actress||1951-01-01 director,producer,actress Kathryn Bigelow
2932||Robert Anderson|||1996-01-01|1920-01-01||||actor||1996-01-01 actor Robert Anderson 1920-01-01
2933|The Bracelet||12|3||||1955-01-01|Drama||30|30 0 12 Drama The Bracelet 1955-01-01 3 The Bracelet
2934||Jay Potter||||||||actor,writer,editor||actor,writer,editor Jay Potter
2935||Kate McKinnon||||1984-01-01||||actress,soundtrack,writer||Kate McKinnon 1984-01-01 actress,soundtrack,writer
2936||Leonid Belokurov|||2003-01-01|1922-01-01||||writer||2003-01-01 1922-01-01 Leonid Belokurov writer
2937||Taraka Rama Rao Nandamuri|||1996-01-01|1923-01-01||||actor,director,writer||1996-01-01 1923-01-01 Taraka Rama Rao Nandamuri actor,director,writer
2938||Gerald Mayer|||2001-01-01|1919-01-01||||director,producer||director,producer Gerald Mayer 1919-01-01 2001-01-01
2939||Sharon Guskin||||||||writer,producer||writer,producer Sharon Guskin
2940||Jon-Erik Laggano||||||||actor||Jon-Erik Laggano actor
2941||Steve Moltzen||||||||director,animation_department,art_department||Steve Moltzen director,animation_department,art_department
2942||Kazuhito Suzuki||||||||actor||Kazuhito Suzuki actor
2943|Traitor||1|2||||1971-01-01|Comedy,Drama||61|2 Comedy,Drama 0 1 Traitor 1971-01-01 61 Traitor
2944||Sze Kei Lee||||1950-01-01||||actress||actress 1950-01-01 Sze Kei Lee
2945||Maurice Hill|||2007-01-01|1918-01-01||||actor,writer||actor,writer 1918-01-01 Maurice Hill 2007-01-01
2946||Devery Freeman|||2005-01-01|1913-01-01||||producer,writer||Devery Freeman producer,writer 1913-01-01 2005-01-01
2947||Peter Adams|||1987-01-01|1917-01-01||||actor||1917-01-01 actor 1987-01-01 Peter Adams
2948||Byron Morrow|||2006-01-01|1911-01-01||||actor||1911-01-01 actor Byron Morrow 2006-01-01
2949||Jamie Vergan||||||||actor,miscellaneous||Jamie Vergan actor,miscellaneous
2950|Branches of the Tree|||||||1990-01-01|Drama||130|130 Drama Shakha Proshakha 1990-01-01 Branches of the Tree 0
2951|Cvrcek a slepice||4|1||||1978-01-01|Animation,Family||5|1 Animation,Family 0 5 Cvrcek a slepice 1978-01-01 Cvrcek a slepice 4
2952|The Seder||7|5||||2005-01-01|Comedy||30|30 7 The Seder 0 Comedy 2005-01-01 5 The Seder
2953||Dalibor Grubacevic||||1975-01-01||||composer,music_department,soundtrack||composer,music_department,soundtrack Dalibor Grubacevic 1975-01-01
2954||Gene Levitt|||1999-01-01|1920-01-01||||writer,producer,director||1920-01-01 Gene Levitt writer,producer,director 1999-01-01
2955|Quiet Desperation||17|8||||1961-01-01|Drama||30|30 Quiet Desperation 0 Drama Quiet Desperation 8 17 1961-01-01
2956||Lonne Elder III|||1996-01-01|1927-01-01||||writer,actor||1996-01-01 1927-01-01 Lonne Elder III writer,actor
2957||Roger Dunn||||||||actor||actor Roger Dunn
2958||Dwight Taylor|||1986-01-01|1903-01-01||||writer,producer,miscellaneous||Dwight Taylor writer,producer,miscellaneous 1986-01-01 1903-01-01
2959||Raymond Danon|||2018-01-01|1930-01-01||||producer,miscellaneous,production_manager||Raymond Danon 1930-01-01 2018-01-01 producer,miscellaneous,production_manager
2960||Juan Carlos Thorry|||2000-01-01|1908-01-01||||actor,director,writer||2000-01-01 Juan Carlos Thorry 1908-01-01 actor,director,writer
2961|Night Finds You||2|2||||2015-01-01|Crime,Drama,Mystery||58|2 Crime,Drama,Mystery 58 0 2 Night Finds You 2015-01-01 Night Finds You
2962||Marie Therese Prohaska||||||||writer||writer Marie Therese Prohaska
2963|Die Like a Dog||4|2||||2002-01-01|Action,Drama,Mystery|||2 0 Die Like a Dog Action,Drama,Mystery 4 2002-01-01 Die Like a Dog
2964|Away from It All||4|2||||1960-01-01|Adventure||60|2 Adventure 1960-01-01 0 Away from It All 4 Away from It All 60
2965||Emily Ballou||||||||writer,miscellaneous,producer||Emily Ballou writer,miscellaneous,producer
2966|The Old and the Dead||16|3||||1995-01-01|Crime,Drama,Mystery|||Crime,Drama,Mystery The Old and the Dead 0 The Old and the Dead 16 1995-01-01 3
2967|Steam Ship Cleaner||8|3||||2007-01-01|Reality-TV||43|2007-01-01 8 43 Steam Ship Cleaner Reality-TV Steam Ship Cleaner 0 3
2968|The Baptism||9|2||||2001-01-01|Comedy||30|2 30 2001-01-01 9 0 The Baptism Comedy The Baptism
2969|Episode #1.3||3|1||||1971-01-01|Drama||23|1 23 0 Episode #1.3 Drama Episode #1.3 1971-01-01 3
2970||Juliet Charlesworth||||||||producer,director||producer,director Juliet Charlesworth
2971||Grisha Ostrovski|||2007-01-01|1918-01-01||||director,actor||director,actor 1918-01-01 Grisha Ostrovski 2007-01-01
2972||Werner Preuss||||||||editor,production_manager,producer||Werner Preuss editor,production_manager,producer
2973||Leland Ling||||||||producer||producer Leland Ling
2974||Khavn||||1973-01-01||||director,writer,producer||Khavn 1973-01-01 director,writer,producer
2975||David Duncan|||1999-01-01|1913-01-01||||writer||David Duncan writer 1913-01-01 1999-01-01
2976||Richard Morris|||1996-01-01|1924-01-01||||writer,director,actor||1996-01-01 Richard Morris writer,director,actor 1924-01-01
2977||Donald Randolph|||1993-01-01|1906-01-01||||actor||1993-01-01 1906-01-01 actor Donald Randolph
2978||Mary Treen|||1989-01-01|1907-01-01||||actress,soundtrack||1907-01-01 actress,soundtrack 1989-01-01 Mary Treen
2979||Thor Bishopric||||1963-01-01||||actor,writer,miscellaneous||actor,writer,miscellaneous Thor Bishopric 1963-01-01
2980||Holly Dale||||1953-01-01||||director,producer,editor||Holly Dale 1953-01-01 director,producer,editor
2981|This Wraps It Up||11|1||||1993-01-01|Animation,Comedy,Fantasy||21|1 21 This Wraps It Up 0 11 Animation,Comedy,Fantasy This Wraps It Up 1993-01-01
2982||Jirina Stepnickov?|||1985-01-01|1912-01-01||||actress||1985-01-01 actress 1912-01-01 Jirina Stepnickov?
2983|Funkhouser's Crazy Sister||1|7||||2009-01-01|Comedy||29|Funkhouser's Crazy Sister Funkhouser's Crazy Sister 0 1 29 7 Comedy 2009-01-01
2984||Vladim?r Smeral|||1982-01-01|1903-01-01||||actor,writer||1982-01-01 actor,writer Vladim?r Smeral 1903-01-01
2985|The Korean Bookie||9|5||||2005-01-01|Comedy||29|9 0 29 Comedy 2005-01-01 The Korean Bookie 5 The Korean Bookie
2986||Sean McClory|||2003-01-01|1924-01-01||||actor,director,soundtrack||2003-01-01 Sean McClory actor,director,soundtrack 1924-01-01
2987||John Bond||||||||actor||John Bond actor
2988|Out of Control||5|6||||1958-01-01|Drama||30|30 Out of Control 0 Drama Out of Control 6 1958-01-01 5
2989||Tony Fucile||||1964-01-01||||animation_department,art_department,actor||Tony Fucile animation_department,art_department,actor 1964-01-01
2990||William Fawcett|||1974-01-01|1894-01-01||||actor||William Fawcett actor 1974-01-01 1894-01-01
2991|Prisoner's Base: Part 1||4|1||||2001-01-01|Action,Drama,Mystery|||2001-01-01 1 Prisoner's Base: Part 1 0 Prisoner's Base: Part 1 Action,Drama,Mystery 4
2992|The Contract on Alex Cordeen||15|1||||1974-01-01|Crime,Drama||60|1 Crime,Drama The Contract on Alex Cordeen 1974-01-01 0 The Contract on Alex Cordeen 15 60
2993||Anton Marinovich|||1976-01-01|1907-01-01||||director,writer||Anton Marinovich 1907-01-01 director,writer 1976-01-01
2994|Heartbeat||7|4||||1995-01-01|Crime,Drama,Mystery|||7 Crime,Drama,Mystery Heartbeat 0 Heartbeat 1995-01-01 4
2995||Tom Clegg|||2016-01-01|1934-01-01||||director,camera_department,writer||director,camera_department,writer Tom Clegg 2016-01-01 1934-01-01
2996||Myles Connell||||||||director,writer,editorial_department||director,writer,editorial_department Myles Connell
2997||George Jacobson||||||||cinematographer,camera_department||cinematographer,camera_department George Jacobson
2998|Porno Gil||3|1||||2000-01-01|Comedy||29|1 Porno Gil 0 29 Comedy Porno Gil 3 2000-01-01
2999||Roger Miller|||1992-01-01|1936-01-01||||soundtrack,actor,music_department||1992-01-01 soundtrack,actor,music_department Roger Miller 1936-01-01
3000|Episode #1.10||10|1||||1971-01-01|Drama|||1 Episode #1.10 Episode #1.10 0 Drama 10 1971-01-01
3001||Pierre Braunberger|||1990-01-01|1905-01-01||||producer,actor,writer||1990-01-01 producer,actor,writer Pierre Braunberger 1905-01-01
3002||Dean Parisot||||||||director,producer,writer||director,producer,writer Dean Parisot
3003||William Forrest||||||||writer||William Forrest writer
3004|Living on the Edge||2|1||||2004-01-01|Documentary||48|2004-01-01 1 Living on the Edge 0 2 Living on the Edge 48 Documentary
3005||Bruce Gordon|||2011-01-01|1916-01-01||||actor||Bruce Gordon 1916-01-01 actor 2011-01-01
3006|The Reunion||3|7||||2009-01-01|Comedy||30|30 The Reunion 0 The Reunion 7 Comedy 2009-01-01 3
3007||Y?ki Kaji||||1985-01-01||||actor,soundtrack||Y?ki Kaji actor,soundtrack 1985-01-01
3008||Lucia Huergo|||2015-01-01|1951-01-01||||composer||1951-01-01 Lucia Huergo 2015-01-01 composer
3009|Lupin the Third: A Woman Called Fujiko Mine||||||2012-01-01|2012-01-01|Action,Adventure,Animation||20|Action,Adventure,Animation 20 Lupin the Third: A Woman Called Fujiko Mine Lupin the Third: Mine Fujiko to iu onna 0 2012-01-01 2012-01-01
3010||Suzanne Charny||||1944-01-01||||actress||actress Suzanne Charny 1944-01-01
3011||BarBara Luna||||1937-01-01||||actress,producer,soundtrack||BarBara Luna actress,producer,soundtrack 1937-01-01
3012||Paul Langton|||1980-01-01|1913-01-01||||actor,soundtrack||actor,soundtrack Paul Langton 1980-01-01 1913-01-01
3013|The Trouble with Laury's Men||22|7||||1960-01-01|Drama||30|30 1960-01-01 The Trouble with Laury's Men 0 Drama The Trouble with Laury's Men 22 7
3014||Irwin Winehouse|||1966-01-01|1922-01-01||||writer||1966-01-01 1922-01-01 Irwin Winehouse writer
3015|The Test||31|1||||1963-01-01|Drama,Sport,Western||30|30 The Test 1 31 Drama,Sport,Western 0 The Test 1963-01-01
3016||Jean Bouise|||1989-01-01|1929-01-01||||actor||actor 1929-01-01 Jean Bouise 1989-01-01
3017||Robert Bice|||1968-01-01|1914-01-01||||actor,miscellaneous,writer||Robert Bice actor,miscellaneous,writer 1968-01-01 1914-01-01
3018||Ney Latorraca||||1944-01-01||||actor,producer,soundtrack||actor,producer,soundtrack Ney Latorraca 1944-01-01
3019||Yu Ha||||1943-01-01||||actor,producer,miscellaneous||1943-01-01 actor,producer,miscellaneous Yu Ha
3020|The Fifth Element|||||||1997-01-01|Action,Adventure,Sci-Fi||126|1997-01-01 Action,Adventure,Sci-Fi The Fifth Element 126 The Fifth Element 0
3021||Richard Belzer||||1944-01-01||||actor,writer,producer||Richard Belzer actor,writer,producer 1944-01-01
3022||Tamasabur? Band?||||1950-01-01||||actor,director,writer||Tamasabur? Band? 1950-01-01 actor,director,writer
3023||Patrick Williams||||||||editor||editor Patrick Williams
3024||Siegfried Wischnewski|||1989-01-01|1922-01-01||||actor,writer||1922-01-01 actor,writer Siegfried Wischnewski 1989-01-01
3025|Hotel Irritant||15|1||||1953-01-01|Drama||30|30 1 Hotel Irritant Hotel Irritant 0 Drama 15 1953-01-01
3026||Shane Grumph||||||||||Shane Grumph
3027||Shovell||||||||soundtrack,actor||soundtrack,actor Shovell
3028||Christoffer Hjalmarsson||||||||writer,camera_department,miscellaneous||writer,camera_department,miscellaneous Christoffer Hjalmarsson
3029||Lukas Ammann|||2017-01-01|1912-01-01||||actor,director,miscellaneous||actor,director,miscellaneous Lukas Ammann 1912-01-01 2017-01-01
3030||David Perry||||1970-01-01||||actor,director,producer||David Perry actor,director,producer 1970-01-01
3031||Barbara Brown||||||||writer,miscellaneous,script_department||Barbara Brown writer,miscellaneous,script_department
3032||Clay Brooks||||||||||Clay Brooks
3033||Robert Klupp|||1975-01-01|1890-01-01||||actor,miscellaneous||1890-01-01 1975-01-01 Robert Klupp actor,miscellaneous
3034||Gerald Mohr|||1968-01-01|1914-01-01||||actor||Gerald Mohr actor 1968-01-01 1914-01-01
3035||Aaron Kaplan||||1974-01-01||||composer,music_department,soundtrack||composer,music_department,soundtrack Aaron Kaplan 1974-01-01
3036||Phyllis Avery|||2011-01-01|1922-01-01||||actress||1922-01-01 actress 2011-01-01 Phyllis Avery
3037|Full Moon||17|4||||1996-01-01|Crime,Drama,Mystery|||Full Moon Full Moon 1996-01-01 Crime,Drama,Mystery 0 17 4
3038||Adrienne Marden|||1978-01-01|1909-01-01||||actress||actress 1909-01-01 Adrienne Marden 1978-01-01
3039||Jaroslav Hasek|||1923-01-01|1883-01-01||||writer||1923-01-01 Jaroslav Hasek 1883-01-01 writer
3040||Hugo Perez||||||||producer,director,writer||producer,director,writer Hugo Perez
3041||Donna Preising||||||||actress||Donna Preising actress
3042||America Ferrera||||1984-01-01||||actress,producer,soundtrack||actress,producer,soundtrack America Ferrera 1984-01-01
3043|Mi's Citizenship||23|2||||1962-01-01|Adventure,Drama,Family||30|2 30 Mi's Citizenship Mi's Citizenship 1962-01-01 0 23 Adventure,Drama,Family
3044||Claire Kennedy||||||||writer||writer Claire Kennedy
3045||Manuel Romero|||1954-01-01|1891-01-01||||director,writer,music_department||Manuel Romero 1954-01-01 1891-01-01 director,writer,music_department
3046||Ilya Skorupsky||||||||animation_department,art_department,director||animation_department,art_department,director Ilya Skorupsky
