id|https://www.scads.de/movieBenchmark/ontology/title|https://www.scads.de/movieBenchmark/ontology/name|http://dbpedia.org/ontology/abstract|http://dbpedia.org/ontology/episodeNumber|http://dbpedia.org/ontology/seasonNumber|http://dbpedia.org/ontology/numberOfSeasons|http://dbpedia.org/ontology/numberOfEpisodes|http://dbpedia.org/ontology/birthDate|http://dbpedia.org/ontology/releaseDate|https://www.scads.de/movieBenchmark/ontology/last_air_date|https://www.scads.de/movieBenchmark/ontology/release_year|http://dbpedia.org/ontology/runtime|https://www.scads.de/movieBenchmark/ontology/genre_list|https://www.scads.de/movieBenchmark/ontology/origin_country|aggregate value
3651||Danny Thomas|||||||||||||2 Danny Thomas Acting
3652|The Little Teacher|||34|2||||1955-04-24||1955-01-01||||2 34 1955-04-24 The Little Teacher 1955-01-01
3653|No Return|||6|1||||1957-10-31||1957-01-01||||1957-01-01 1 6 1957-10-31 No Return
3654||Charleen Richards|||||||||||||1 Charleen Richards
3655|Episode 3|||3|1||||2019-05-04||2019-01-01||||1 Episode 3 2019-01-01 2019-05-04 3
3656|Castaways||Troy is headed to the strife torn island of Mai Sai with a cargo of serum to fight a cholera epidemic. Troy and crew pick up three men stranded on a tiny atoll, who claim to be survivors of a shipwreck, but they're really gunrunners from a ship called the Punjab Trader, whose captain was murdered. The trio, led by the second mate, take over the Tiki, threatening to kill the nun who is transporting the serum, and go after the Punjab Trader.|13|1||||1960-01-04||1960-01-01||||1960-01-04 13 1 Troy is headed to the strife torn island of Mai Sai with a cargo of serum to fight a cholera epidemic. Troy and crew pick up three men stranded on a tiny atoll, who claim to be survivors of a shipwreck, but they're really gunrunners from a ship called the Punjab Trader, whose captain was murdered. The trio, led by the second mate, take over the Tiki, threatening to kill the nun who is transporting the serum, and go after the Punjab Trader. 1960-01-01 Castaways
3657|Mini Greenbuild||Greensburg City Manager Steve Hewitt, feels the pressure to find funds to build green. Without the support of more outside players Greensburg will never reach their goal of sustainable building. With the eyes of the nation on this one stop light town, can they deliver?|6|1||||2008-07-20||2008-01-01||||1 2008-07-20 Greensburg City Manager Steve Hewitt, feels the pressure to find funds to build green. Without the support of more outside players Greensburg will never reach their goal of sustainable building. With the eyes of the nation on this one stop light town, can they deliver? 6 2008-01-01 Mini Greenbuild
3658||Liz Gloyn|||||||||||||Liz Gloyn 0
3659||Ahn Jae-hong|||||||||||||2 Ahn Jae-hong
3660||Paul Dufour|||||||||||||Paul Dufour 0
3661||Winnie Cordero|||||||||||||Winnie Cordero 0
3662||Toni Ucci|||||||||||||Toni Ucci 2
3663||Susie Essman|||||||||||||1 Susie Essman
3664||Lyudmila Shlyakhtur|||||||||||||Lyudmila Shlyakhtur 0
3665|Jimmy Kimmel||Zach interviews talk show host Jimmy Kimmel.|2|1||||2008-04-17||2008-01-01||||2 1 2008-04-17 2008-01-01 Jimmy Kimmel Zach interviews talk show host Jimmy Kimmel.
3666||Yoko Kamio|||||||||||||1 Yoko Kamio Writing
3667||James Urbaniak|||||||||||||2 James Urbaniak
3668|Code 258|||31|3||||1956-04-15||1956-01-01||||1956-04-15 31 Code 258 1956-01-01 3
3669|Autofocus||A gas leak causes the detectives to evacuate the building, so they relocate to an old bank building. Lewis is paired up with Kellerman on the murder of a woman. Sergeant Howard tries to carve out a place for herself with the other detectives, but her efforts prove unpopular. Pembleton has trouble adjusting to the new surroundings and his wife's pregnancy. A cameraman who was at the scene of the murder has who he thinks is the perpetrator on tape; however, when he brings the tape to Gee, he is thrown out before he can say why he's there. The cameraman eventually strikes a deal with Lewis and Kellerman.|3|4||||1995-11-03||1995-01-01||||A gas leak causes the detectives to evacuate the building, so they relocate to an old bank building. Lewis is paired up with Kellerman on the murder of a woman. Sergeant Howard tries to carve out a place for herself with the other detectives, but her efforts prove unpopular. Pembleton has trouble adjusting to the new surroundings and his wife's pregnancy. A cameraman who was at the scene of the murder has who he thinks is the perpetrator on tape; however, when he brings the tape to Gee, he is thrown out before he can say why he's there. The cameraman eventually strikes a deal with Lewis and Kellerman. 1995-11-03 Autofocus 1995-01-01 4 3
3670|Time and Yuletide|||16|2||||1954-12-19||1954-01-01||||2 1954-01-01 1954-12-19 Time and Yuletide 16
3671||Justin Lee Burrows|||||||||||||Justin Lee Burrows 0
3672||Topper Headon|||||||||||||Topper Headon 0
3673||Vesa Vierikko|||||||||||||Vesa Vierikko 2
3674|National Velvet||National Velvet is an American drama series|||2|58||1960-09-18|1962-04-02|1960-01-01|30|Drama|US|en 1960-01-01 en 58 Drama 1962-04-02 National Velvet is an American drama series National Velvet National Velvet 2 1960-09-18 false 30 US Ended
3675||Maury Chaykin|||||||||||||2 Maury Chaykin
3676|The Sleeping Beauty||A prince and his geeky friend attempt to awaken Sleeping Beauty, but the prince's kiss becomes a curse when she springs to life and attempts to kill them.|6|1||||1993-10-23||1993-01-01||||A prince and his geeky friend attempt to awaken Sleeping Beauty, but the prince's kiss becomes a curse when she springs to life and attempts to kill them. 1 1993-01-01 6 The Sleeping Beauty 1993-10-23
3677||Joo Min-ha|||||||||||||Joo Min-ha 0
3678|Episode 5||When an unconscious baby is admitted to hospital, staff are concerned that his injuries do not match his parents' explanation.|5|4||||2014-10-08||2014-01-01||||Episode 5 When an unconscious baby is admitted to hospital, staff are concerned that his injuries do not match his parents' explanation. 2014-10-08 2014-01-01 5 4
3679||Kazuya Saito|||||||||||||Kazuya Saito 0
3680||Gianni Di Venanzo|||||||||||||Gianni Di Venanzo 0
3681|Welcome to the Kingdom of Animals||After having relaxing days in Swakopmund, they hit the road again to see wild animals this time. They head to Etosha National Park which is known as home to numerous kinds of wild animals. They are surprised by an appearance of a wild animal at the entrance of the park. For the second camping in Africa, Jae Hong cooks again. While having dinner, they bring back their old memories and talk about their career and friendship.|4|4||||2016-03-11||2016-01-01||||4 4 2016-01-01 2016-03-11 After having relaxing days in Swakopmund, they hit the road again to see wild animals this time. They head to Etosha National Park which is known as home to numerous kinds of wild animals. They are surprised by an appearance of a wild animal at the entrance of the park. For the second camping in Africa, Jae Hong cooks again. While having dinner, they bring back their old memories and talk about their career and friendship. Welcome to the Kingdom of Animals
3682||David Rubin|||||||||||||David Rubin 2
3683||Akira Suzuki|||||||||||||2 Akira Suzuki
3684||Cathy Murphy|||||||||||||1 Cathy Murphy
3685|Rain Shadow||'Rain Shadow is an Australian television drama series which premiered on 7 October 2007 on ABC TV. It aired on Sundays at 8.30 pm. The six-part series was produced by Southern Star. Music from The Audreys features in the soundtrack for the show, including the main theme.Rain Shadow was shot in the Adelaide Hills in South Australia and is set in the fictional district of Paringa, a dry land farming area in a rain shadow. It tells the story of two characters who become the means of each other's future. It stars Rachel Ward as district vet Kate McDonald and Victoria Thaine as new veterinary assistant Jill Blake.|||1|6||2007-10-07|2007-11-18|2007-01-01|60|Drama|AU|AU Rain Shadow en en 'Rain Shadow is an Australian television drama series which premiered on 7 October 2007 on ABC TV. It aired on Sundays at 8.30 pm. The six-part series was produced by Southern Star. Music from The Audreys features in the soundtrack for the show, including the main theme.Rain Shadow was shot in the Adelaide Hills in South Australia and is set in the fictional district of Paringa, a dry land farming area in a rain shadow. It tells the story of two characters who become the means of each other's future. It stars Rachel Ward as district vet Kate McDonald and Victoria Thaine as new veterinary assistant Jill Blake. Rain Shadow 2007-01-01 Drama http://www.southernstargroup.com/production/production.aspx?programId=23 60 6 1 false 2007-10-07 2007-11-18 Ended
3686||Angelina Sarova|||||||||||||Angelina Sarova 0
3687|F-I– FIRST S-E– SECOND F– FIRST DAY||When Maya encourages the parents of the new special needs kids at Lafayette High to demand full-time aides, the school administrators tell her anything the new students get will spell losses for her beloved JJ. Meanwhile, Dylan develops a hooky habit, unprepared as she is to return to the same school for a second year; JJ pushes Kenneth toward romance with his teacher; and Jimmy endeavors to enjoy a long-awaited uninterrupted shower.|2|2||||2017-10-04||2017-01-01||||2 2 2017-10-04 When Maya encourages the parents of the new special needs kids at Lafayette High to demand full-time aides, the school administrators tell her anything the new students get will spell losses for her beloved JJ. Meanwhile, Dylan develops a hooky habit, unprepared as she is to return to the same school for a second year; JJ pushes Kenneth toward romance with his teacher; and Jimmy endeavors to enjoy a long-awaited uninterrupted shower. 2017-01-01 F-I– FIRST S-E– SECOND F– FIRST DAY
3688|The Irishmen|||5|2||||1960-10-31||1960-01-01||||2 1960-10-31 The Irishmen 1960-01-01 5
3689||Josef Altin|||||||||||||Josef Altin 2
3690||Andrew Davies|||||||||||||Andrew Davies 2 Writing
3691|Home Is Where The Hate Is||With the Monarch busy settling into his new home with his wife, a new villain arises to arch Dr. Venture.|4|3||||2008-06-22||2008-01-01||||2008-06-22 2008-01-01 4 With the Monarch busy settling into his new home with his wife, a new villain arises to arch Dr. Venture. Home Is Where The Hate Is 3
3692||Tara Strong|||||||||||||Tara Strong 1 Acting
3693||Bahadur Aliyev|||||||||||||2 Bahadur Aliyev
3694|Episode 1||For the 12 young RAF pilots of Hornet Squadron, September 1939 is the moment they have been waiting for. Flying beautiful aircraft in perfect formation, they face an enemy better trained, better armed and better experienced than they are.|1|1||||1988-10-02||1988-01-01||||For the 12 young RAF pilots of Hornet Squadron, September 1939 is the moment they have been waiting for. Flying beautiful aircraft in perfect formation, they face an enemy better trained, better armed and better experienced than they are. 1 1 1988-10-02 Episode 1 1988-01-01
3695||Linda Chung|||||||||||||1 Linda Chung
3696||Wolfgang de Gelmini|||||||||||||Wolfgang de Gelmini 0
3697|Episode 15||Back from Macau, Jandi is having a hard time trying to brace herself up. The master of the restaurant where Jandi works, asks her to visit the old doctor’s office, who often comes to the restaurant, and this gives Jandi a fresh impression. Jandi talks to Junhee about her true feeling and Junhee asks her mother not to make Junpyo a victim. Junpyo comes back to Korea and goes to Shinhwa University. The mother invites Jandi to Junpyo’s birthday party. In there, she hears about Junpyo’s engagement with Jaekyeong, the girl who Jandi met in Macau.|15|1||||2009-02-23||2009-01-01||||1 Back from Macau, Jandi is having a hard time trying to brace herself up. The master of the restaurant where Jandi works, asks her to visit the old doctor’s office, who often comes to the restaurant, and this gives Jandi a fresh impression. Jandi talks to Junhee about her true feeling and Junhee asks her mother not to make Junpyo a victim. Junpyo comes back to Korea and goes to Shinhwa University. The mother invites Jandi to Junpyo’s birthday party. In there, she hears about Junpyo’s engagement with Jaekyeong, the girl who Jandi met in Macau. 2009-01-01 2009-02-23 15 Episode 15
3698||Nick Tebbet|||||||||||||Nick Tebbet Crew 0
3699|Mayoi Snail (1)||'Koyomi Araragi has an argument with his sister and then finds ut difficult to stay in the house. He goes to the park where he meets Hitagi Senjyogahara.They see a little girl, Mayoi Hachikuji, comparing the town map displayed in the park to the memo in her hand. Learning that Mayoi has lost her way and route to a relative's home, Koyomi offers to help, only to be violently rebuffed.|3|1||||2009-07-17||2009-01-01||||'Koyomi Araragi has an argument with his sister and then finds ut difficult to stay in the house. He goes to the park where he meets Hitagi Senjyogahara.They see a little girl, Mayoi Hachikuji, comparing the town map displayed in the park to the memo in her hand. Learning that Mayoi has lost her way and route to a relative's home, Koyomi offers to help, only to be violently rebuffed. 1 Mayoi Snail (1) 2009-07-17 2009-01-01 3
3700||Ahn Se-ha|||||||||||||Ahn Se-ha 2
3701||Kei Ajiki|||||||||||||Kei Ajiki 0
3702||Matt Morrison|||||||||||||Matt Morrison 0
3703|The Bracelet|||12|3||||1955-11-13||1955-01-01||||12 1955-11-13 1955-01-01 3 The Bracelet
3704|Episode 1|||1|1||||2019-05-04||2019-01-01||||1 1 Episode 1 2019-01-01 2019-05-04
3705||Kevin De La Noy|||||||||||||2 Kevin De La Noy
3706|Mister Softee||An ice cream truck triggers a painful childhood memory for Larry.|9|8||||2011-09-04||2011-01-01||||Mister Softee 9 2011-09-04 8 2011-01-01 An ice cream truck triggers a painful childhood memory for Larry.
3707|Inga II|||29|2||||1955-03-20||1955-01-01||||2 29 1955-01-01 Inga II 1955-03-20
3708|The Secret Place|||21|3||||1962-02-25||1962-01-01||||1962-01-01 The Secret Place 21 3 1962-02-25
3709|Snake Wrangler||Reptile handler|10|3||||2007-07-10||2007-01-01||||2007-01-01 2007-07-10 10 Reptile handler Snake Wrangler 3
3710||Anne Shirley|||||||||||||1 Anne Shirley
3711||Bill Kent|||||||||||||Bill Kent 0
3712||Boris McGiver|||||||||||||2 Boris McGiver
3713||Anders Jansson|||||||||||||2 Anders Jansson Acting
3714||Bravo Film|||||||||||||productionCompany Bravo Film
3715||Michael Small|||||||||||||2 Michael Small
3716||Diana Ross|||||||||||||Diana Ross 1 Acting
3717||Ryouta Suzuki|||||||||||||Ryouta Suzuki 0
3718||Maggie Cheung|||||||||||||1 Maggie Cheung
3719||Fernando Rey|||||||||||||Fernando Rey 2
3720|Mi's Citizenship|||23|2||||1962-03-12||1962-01-01||||1962-01-01 2 1962-03-12 23 Mi's Citizenship
3721||Carly Romberg|||||||||||||Carly Romberg 0
3722||Lee Sheward|||||||||||||2 Lee Sheward
3723||Sylvie Menard|||||||||||||Sylvie Menard 0
3724|My Uncle O'Moore|||4|3||||1955-09-18||1955-01-01||||1955-09-18 1955-01-01 My Uncle O'Moore 4 3
3725|Colors||Tim's cousin shoots a Turkish exchange student and his partnership with Pembleton may be in jeopardy when they both stand on opposite sides of the case. Lewis hires his grandmother to cook at the bar.|19|3||||1995-04-28||1995-01-01||||19 Colors 1995-01-01 Tim's cousin shoots a Turkish exchange student and his partnership with Pembleton may be in jeopardy when they both stand on opposite sides of the case. Lewis hires his grandmother to cook at the bar. 1995-04-28 3
3726||Kim Knuckey|||||||||||||2 Kim Knuckey
3727|It's a Man's Game|||11|2||||1954-11-14||1954-01-01||||2 It's a Man's Game 1954-01-01 1954-11-14 11
3728|The Lakes||Compelling BBC1 drama series embracing sex, death and Catholic guilt, set in a small community in the Lake District. The first four-part series centred on newcomer Danny Kavanagh; the second 10-part series featured other characters in the community.|||2|14||1997-09-14|1999-03-14|1997-01-01|60|Drama|GB|1999-03-14 The Lakes http://www.bbc.co.uk/programmes/p00h2d7c en en 14 1997-09-14 Compelling BBC1 drama series embracing sex, death and Catholic guilt, set in a small community in the Lake District. The first four-part series centred on newcomer Danny Kavanagh; the second 10-part series featured other characters in the community. Drama 1997-01-01 60 2 false The Lakes GB Ended
3729||Mika Sawada|||||||||||||Mika Sawada 0
3730||Ryan Pope|||||||||||||2 Ryan Pope
3731||Ivan Heng|||||||||||||Ivan Heng 0
3732|DNA Structure and Replication||Hank introduces us to that wondrous molecule deoxyribonucleic acid - also known as DNA - and explains how it replicates itself in our cells.|10|1||||2012-04-02||2012-01-01||||2012-01-01 1 2012-04-02 DNA Structure and Replication 10 Hank introduces us to that wondrous molecule deoxyribonucleic acid - also known as DNA - and explains how it replicates itself in our cells.
3733||Balduin Baas|||||||||||||Balduin Baas 0
3734||Domagoj Kobe??ak|||||||||||||Domagoj Kobe??ak 0
3735||Crys Forsyth-Smith|||||||||||||1 Crys Forsyth-Smith
3736||Yasutoshi Iwasaki|||||||||||||Yasutoshi Iwasaki 0
3737||Leslie Stevens|||||||||||||Leslie Stevens Writing 0
3738||Moses Chan|||||||||||||Moses Chan 2
3739||Kazuya Tsurumaki|||||||||||||Kazuya Tsurumaki 2 Directing
3740|El Barbero de los Mocos|||20|6||||1999-05-20||1999-01-01||||1999-05-20 20 6 1999-01-01 El Barbero de los Mocos
3741||Arthur Space|||||||||||||2 Arthur Space
3742||GAINAX||||||||||||JP|productionCompany JP GAINAX
3743|Episode 22|||22|2||||2017-08-14||2017-01-01||||2 22 Episode 22 2017-01-01 2017-08-14
3744||Vasily Chiginsky|||||||||||||Vasily Chiginsky 2 Directing
3745|The Golden Ocean||'Historian and sailor Dan Snow presents the second episode in this four-part series examining the remarkable story of how the country's greatest institution - her Navy - has shaped her history. In The Golden Ocean, Snow charts the period from 1690 to 1759 and reveals how England - soon to be Britain - and her Navy rose from the depths of military and economic disaster to achieve global supremacy. In 1690, France ruled the waves and the Royal Navy was in tatters. King William III had taken England into a disastrous war against the most powerful country in Europe. If England was to survive, it needed a new Navy, one capable of carrying the fight to its enemies anywhere in the world. To achieve this would require a national effort unlike anything that had been seen before. King William III's determination to achieve mastery of the seas unleashed a chain reaction of revolutions in finance, industry and agriculture which reshaped the landscape and created the country's first great credit boom. Fifty years before the Industrial Revolution, the Royal Navy became the engine of global change, propelling Britain into the modern world.It had the desired effect at sea. By 1759, French forces around the world were capitulating to Britain's superior Navy. For the first time in her history, Britannia really did rule the waves.|2|1||||2010-01-23||2010-01-01||||2 1 2010-01-01 'Historian and sailor Dan Snow presents the second episode in this four-part series examining the remarkable story of how the country's greatest institution - her Navy - has shaped her history. In The Golden Ocean, Snow charts the period from 1690 to 1759 and reveals how England - soon to be Britain - and her Navy rose from the depths of military and economic disaster to achieve global supremacy. In 1690, France ruled the waves and the Royal Navy was in tatters. King William III had taken England into a disastrous war against the most powerful country in Europe. If England was to survive, it needed a new Navy, one capable of carrying the fight to its enemies anywhere in the world. To achieve this would require a national effort unlike anything that had been seen before. King William III's determination to achieve mastery of the seas unleashed a chain reaction of revolutions in finance, industry and agriculture which reshaped the landscape and created the country's first great credit boom. Fifty years before the Industrial Revolution, the Royal Navy became the engine of global change, propelling Britain into the modern world.It had the desired effect at sea. By 1759, French forces around the world were capitulating to Britain's superior Navy. For the first time in her history, Britannia really did rule the waves. The Golden Ocean 2010-01-23
3746||Jules Jordan Video||||||||||||US|Jules Jordan Video productionCompany US
3747|Teddy's Exam|||18|1||||1961-01-15||1961-01-01||||1 1961-01-15 1961-01-01 18 Teddy's Exam
3748||Garth Maxwell|||||||||||||Garth Maxwell
3749|Episode 10||Yijeong unexpectly sees Gaeul on the street and helps to revenge her bad boyfriend. Jandi clears up her misunderstanding about Junpyo, and the two go out on a date on Valentine’s Day. They bump into Junpyo’s mother, and Junpyo tells her not to do anything bad to Jandi. The mother, who doesn’t even think of F4 as the friends of Junpyo, starts her next action to cut Jandi off from Junpyo as she thinks Jandi is ridiculously improper to her son.|10|1||||2009-02-03||2009-01-01||||2009-02-03 Yijeong unexpectly sees Gaeul on the street and helps to revenge her bad boyfriend. Jandi clears up her misunderstanding about Junpyo, and the two go out on a date on Valentine’s Day. They bump into Junpyo’s mother, and Junpyo tells her not to do anything bad to Jandi. The mother, who doesn’t even think of F4 as the friends of Junpyo, starts her next action to cut Jandi off from Junpyo as she thinks Jandi is ridiculously improper to her son. 1 10 Episode 10 2009-01-01
3750|mickydoo|||5|9||||||||||9 5 mickydoo
3751|Mayoi Snail (3)||While Hitagi is off to Oshino for advice, Koyomi learns more about Mayoi's life. When Hitagi finally returns, she reveals some information that surprises Koyomi.|5|1||||2009-07-31||2009-01-01||||1 While Hitagi is off to Oshino for advice, Koyomi learns more about Mayoi's life. When Hitagi finally returns, she reveals some information that surprises Koyomi. Mayoi Snail (3) 2009-07-31 5 2009-01-01
3752|To Have and to Kill||After young lovers Deborah and Steven Brown are married, his erratic and malicious side emerges to torment his wife and their kids for the next 16 years. But trying to escape Steven's wrath proves treacherous for Deborah, and those willing to help.|6|3||||2016-02-13||2016-01-01||||To Have and to Kill After young lovers Deborah and Steven Brown are married, his erratic and malicious side emerges to torment his wife and their kids for the next 16 years. But trying to escape Steven's wrath proves treacherous for Deborah, and those willing to help. 6 2016-02-13 2016-01-01 3
3753||Jarom?r Dulava|||||||||||||Jarom?r Dulava 0
3754||Boris Sagal|||||||||||||2 Boris Sagal Directing
3755|Letter to Loretta: The Faith of Chata|||13|1||||1953-12-13||1953-01-01||||13 1 1953-12-13 Letter to Loretta: The Faith of Chata 1953-01-01
3756||Youssef Assad|||||||||||||Youssef Assad 0
3757||Jeremy Saulnier|||||||||||||Crew Jeremy Saulnier 0
3758||Mar Regueras|||||||||||||1 Mar Regueras
3759||Kaori Mizuhashi|||||||||||||1 Kaori Mizuhashi
3760|Vow of Silence||Larry's evolving alibi to get out of a charity function results in unexpected travel plans. Meanwhile, Susie makes demands for the terminally ill family dog's last meal; and Larry points out personal flaws in the buffet line and in parking lots.|5|8||||2011-08-07||2011-01-01||||Vow of Silence 8 2011-01-01 5 Larry's evolving alibi to get out of a charity function results in unexpected travel plans. Meanwhile, Susie makes demands for the terminally ill family dog's last meal; and Larry points out personal flaws in the buffet line and in parking lots. 2011-08-07
3761|Canada||Bruce travels to the far north of Canada to live with the Caribou people and witness their annual spring hunt. The Gwitchin tribe has hunted migrating caribou in the Arctic wilderness for thousands of years, but this tradition is now under threat from oil exploration. Bruce then heads south to the tar sands of Alberta, home to the second largest oil reserves in the world, to discover how native people cope when the oil industry moves into their territory.|4|1||||2011-01-30||2011-01-01||||1 2011-01-01 Canada 2011-01-30 Bruce travels to the far north of Canada to live with the Caribou people and witness their annual spring hunt. The Gwitchin tribe has hunted migrating caribou in the Arctic wilderness for thousands of years, but this tradition is now under threat from oil exploration. Bruce then heads south to the tar sands of Alberta, home to the second largest oil reserves in the world, to discover how native people cope when the oil industry moves into their territory. 4
3762|The Inheritance||Mr. Grant, owner and sole inhabitant of a small island on the Pacific, has been killed in strange circumstances. His young and pretty niece, recently arrived in Papeete, claims the inheritance. During the investigation, a mysterious character is discovered on the island.|12|3||||1961-12-24||1961-01-01||||12 Mr. Grant, owner and sole inhabitant of a small island on the Pacific, has been killed in strange circumstances. His young and pretty niece, recently arrived in Papeete, claims the inheritance. During the investigation, a mysterious character is discovered on the island. 1961-01-01 The Inheritance 1961-12-24 3
3763|Cave Digger||Mike helps dig tunnels that are used as underground wine caverns.  Later he works behind the scenes with Southwest Airlines as a baggage handler.  He also gets to work with the airport incinerator.|5|3||||2007-02-20||2007-01-01||||2007-01-01 2007-02-20 Mike helps dig tunnels that are used as underground wine caverns.  Later he works behind the scenes with Southwest Airlines as a baggage handler.  He also gets to work with the airport incinerator. 5 Cave Digger 3
3764||Adrian Scott|||||||||||||Adrian Scott 0 Production
3765|Shakespeare 1564-1616||A chronological look at Shakespeare's dramatic genius, using extracts from eight plays: Romeo and Juliet, Henry V, Twelfth Night, Hamlet, King Lear, Antony and Cleopatra, Cymbeline and The Tempest.|5|1||||1984-05-30||1984-01-01||||1 1984-01-01 A chronological look at Shakespeare's dramatic genius, using extracts from eight plays: Romeo and Juliet, Henry V, Twelfth Night, Hamlet, King Lear, Antony and Cleopatra, Cymbeline and The Tempest. Shakespeare 1564-1616 5 1984-05-30
3766|Valley Uprising||'In the shady campgrounds of Yosemite valley, climbers carved out a counterculture lifestyle of dumpster-diving and wild parties that clashed with the conservative values of the National Park Service. And up on the walls, generation after generation has pushed the limits of climbing, vying amongst each other for supremacy on Yosemite's cliffs. ''Valley Uprising'' is the riveting, unforgettable tale of this bold rock climbing tradition in Yosemite National Park: half a century of struggle against the laws of gravity -- and the laws of the land.||||||2014-09-01||2014-01-01|99| Documentary||English, Italiano 2014-01-01 en United States of America Valley Uprising 2014-09-01 http://www.valleyuprising.com/  Documentary Adventure 'In the shady campgrounds of Yosemite valley, climbers carved out a counterculture lifestyle of dumpster-diving and wild parties that clashed with the conservative values of the National Park Service. And up on the walls, generation after generation has pushed the limits of climbing, vying amongst each other for supremacy on Yosemite's cliffs. ''Valley Uprising'' is the riveting, unforgettable tale of this bold rock climbing tradition in Yosemite National Park: half a century of struggle against the laws of gravity -- and the laws of the land. 0 99 0 Released Valley Uprising
3767||Koo Hye-sun|||||||||||||1 Koo Hye-sun
3768||Jane Fonda|||||||||||||Jane Fonda 1
3769||Sion Probert|||||||||||||Sion Probert 0
3770|?????????|||14|1||||||||||????????? 1 14
3771|Episode 6|||6|1||||2015-07-21||2015-01-01||||2015-01-01 1 2015-07-21 6 Episode 6
3772||Kim Chan|||||||||||||2 Kim Chan
3773|Episode 9|||9|1||||1971-11-07||1971-01-01||||9 1 1971-11-07 1971-01-01 Episode 9
3774|Episode 9|||9|1||||1972-03-03||1972-01-01||||9 1 1972-01-01 Episode 9 1972-03-03
3775|Diana!||Diana! is American singer Diana Ross' first solo TV special, which aired on ABC on April 18, 1971. The program was choreographed by David Winters of West Side Story fame, who at that time choreographed all of Ross' stage and TV shows. The special also featured appearances by Danny Thomas and Bill Cosby, plus performances by The Jackson 5, and also included Jackson 5 lead singer Michael Jackson's solo debut.||||||1971-04-18||1971-01-01|60| Music||Diana! English en Diana!  Music United States of America Comedy 1971-04-18 1971-01-01 60  TV Movie Diana Ross' first solo TV special. 0 0 Diana! is American singer Diana Ross' first solo TV special, which aired on ABC on April 18, 1971. The program was choreographed by David Winters of West Side Story fame, who at that time choreographed all of Ross' stage and TV shows. The special also featured appearances by Danny Thomas and Bill Cosby, plus performances by The Jackson 5, and also included Jackson 5 lead singer Michael Jackson's solo debut. Released
3776|Upstairs Inferno||On June 24, 1973, a gay bar in New Orleans called the Up Stairs Lounge was deliberately set on fire, resulting in the largest gay mass murder in U.S. history.||||||2015-11-01||2015-01-01|96| Documentary||2015-01-01 English en http://www.caminaentertainment.com/Upstairs_Inferno/Upstairs_Inferno.html United States of America Upstairs Inferno  Documentary History Upstairs Inferno The forgotten story about the largest gay mass murder in U.S. History. 2015-11-01 0 0 Released 96 On June 24, 1973, a gay bar in New Orleans called the Up Stairs Lounge was deliberately set on fire, resulting in the largest gay mass murder in U.S. history.
3777||Alihuseyn Huseynov|||||||||||||Alihuseyn Huseynov 0
3778||Suzi Shumizu|||||||||||||Suzi Shumizu 0
3779||Terenzio Cordova|||||||||||||Terenzio Cordova 0
3780||Anne Hofhuis|||||||||||||Anne Hofhuis Writing 0
3781||Clifford Rose|||||||||||||Clifford Rose 2
3782||Rie Matsubara|||||||||||||1 Rie Matsubara
3783||Gary Tomkins|||||||||||||Gary Tomkins 2
3784|[32] Nekomonogatari [Shiro] [1] Tsubasa Tiger - Part 1||The first day of the second trimester, Tsubasa Hanekawa chats with the ghost girl Mayoi Hachikuji en route to school. Right afterwards, she witnesses a giant “tiger” apparition. Later that day, her house completely burns down from a fire. |1|3||||2013-07-07||2013-01-01||||1 2013-01-01 The first day of the second trimester, Tsubasa Hanekawa chats with the ghost girl Mayoi Hachikuji en route to school. Right afterwards, she witnesses a giant “tiger” apparition. Later that day, her house completely burns down from a fire.  [32] Nekomonogatari [Shiro] [1] Tsubasa Tiger - Part 1 2013-07-07 3
3785|Faith, Hope and Mr. Flaherty|||27|7||||1960-05-08||1960-01-01||||1960-05-08 Faith, Hope and Mr. Flaherty 7 1960-01-01 27
3786||Suraj Venjaramoodu|||||||||||||2 Suraj Venjaramoodu
3787||Kevin Phipps|||||||||||||Kevin Phipps 2
3788||TG Film Studio|||||||||||||productionCompany TG Film Studio
3789|Chimney Sweeper|||16|1||||2005-11-08||2005-01-01||||1 Chimney Sweeper 16 2005-01-01 2005-11-08
3790||Rene Tala|||||||||||||Rene Tala 0
3791||Patricia Johnson|||||||||||||Patricia Johnson 0
3792|El Taxista Perdido|||13|6||||1999-04-01||1999-01-01||||13 6 El Taxista Perdido 1999-01-01 1999-04-01
3793|Episode 17|||17|2||||2017-08-14||2017-01-01||||2 17 Episode 17 2017-01-01 2017-08-14
3794||Herv? Sand|||||||||||||2 Herv? Sand
3795||Yelena Seropova|||||||||||||1 Yelena Seropova
3796||Rudolph E. Abel|||||||||||||Rudolph E. Abel
3797||Kaye Wragg|||||||||||||0 Kaye Wragg
3798|Episode 35 - Skeboarder ~ Bamboo Derby II|||35|1||||||||||35 1 Episode 35 - Skeboarder ~ Bamboo Derby II
3799||Michael Haley|||||||||||||2 Michael Haley
3800|Episode 18|||18|1||||2019-06-01||2019-01-01||||1 2019-06-01 18 Episode 18 2019-01-01
3801|Donald's Friend|||13|1||||1960-12-11||1960-01-01||||13 Donald's Friend 1 1960-01-01 1960-12-11
3802||Dominic Ackland-Snow|||||||||||||Dominic Ackland-Snow 0
